,ad_creative_bodies,ad_creative_link_descriptions,bylines,ad_creative_link_titles,ad_creative_link_captions,demographic_distribution,page_name,page_id,id,estimated_audience_size.lower_bound,estimated_audience_size.upper_bound,impressions.lower_bound,impressions.upper_bound,spend.lower_bound,spend.upper_bound
190,"['ALAMO-DISRESPECTING GEORGE P. BUSH MAY KILL FAMILY’S POLITICAL DYNASTY\n\nPlease see the excellent article by Isabel Vincent that just came out in the NEW YORK POST on March 4 describing the potential downfall of George P. Bush. The piece goes into quite a bit of detail about the impact that ALL OF US have had in the fight to Save the Alamo.\n\nYou can press this link to see the original. https://nypost.com/2022/03/04/george-p-bush-may-end-familys-political-dynasty-in-texas/\n\nWe have also posted the full article below.\n\n********************************************************************\n \nAlamo-disrespecting George P. Bush may kill family’s political dynasty\nBy Isabel Vincent\nMarch 4, 2022 7:40am\nNEW YORK POST \n \nAt first glance, George Prescott Bush seems the ideal political candidate in a state where his family has been a powerful dynasty for decades.\n\nThe telegenic Texas lawyer is a grandson of 41st US President George H.W. Bush and the nephew of George W. Bush, the 43rd. He is the eldest son of two-term Florida Gov. Jeb Bush and the great-grandson of US Sen. Prescott Bush of Connecticut. The war veteran and father of two, married to blond lawyer Amanda Williams Bush, is also Mexican American on his mother’s side, and speaks fluent Spanish.\n\nBut that might not be enough, according to critics who accuse him of being the black sheep of the family and disrespecting the Alamo, Texas’ most treasured symbol, by bringing in modern-minded out-of-staters for its restoration.\n\nOn Tuesday, Bush, 45, and incumbent Ken Paxton beat two other Republican candidates vying to be the party’s pick in the attorney general’s race.\n\nNow, a critical May runoff will determine whether the fourth-generation scion will be able to shore up the family’s political legacy in the Lone Star State, analysts say. \n\nBut that’s another problem: “The Bush name is not popular in Texas anymore,” Luke Twombly, a Dallas-based political consultant and former communications director of the Texas Republican Party, told The Post.\n\nPaxton, the Texas attorney general since 2015, has been indicted on securities fraud charges and accused of bribery and misuse of office in a civil whistleblower lawsuit, but still has the support of the state’s conservatives. He also has the endorsement of former President Donald Trump — a situation Bush hopes to reverse by invoking Trump in his campaign ads, which don’t mention the titans in his own family.\n\n“Under the leadership of President Trump, our country was strong and vibrant again,” says Bush in a campaign video. At another point in the ad, he notes, “Like President Trump, I will not sit idly by while our freedoms are under attack, because Texas must lead the way in fighting this radical agenda.” \n\nIf Bush is trying to capitalize on his devotion to Trump, his opponents hope to end the Bush family’s political dominance in Texas, which began after George H.W. moved with his wife, Barbara, from Connecticut to the Lone Star State in 1948 to work in the oil business.\n\n“If conservatives unite … we can end the Bush dynasty,” Paxton told a Lubbock radio station Wednesday. “The Bushes have had their chances. It’s time for the dynasty to end.”\n\nBush, commissioner of the General Land Office in Texas, has faced withering criticism from both Democrats and fellow Republicans for his work restoring the Alamo historic site. He’s also been under scrutiny for his agency’s administration of veterans’ homes, where the COVID fatality rate was 25 percent at seven out of nine facilities — more than double the rate at the state’s other nursing homes during the height of the pandemic.\n\nIn his eagerness to seek endorsements from Trump, Bush has broken with members of his own family, becoming the black sheep of a clan that has little patience for Trump’s hold on the Republican Party. \n\n“I can’t imagine that George P. is getting a lot of love from his family in pursuit of the Trump endorsement,” said Twombly.\n\nAlthough he likely needs Trump’s endorsement to win the race, others say Bush lacks the same leadership genes that propelled his relatives to political victory.\n\n“Well, maybe he’s not exactly a black sheep, but Bush is not the guy,” Jerry Patterson, Bush’s predecessor on the General Land Office, told The Post. “I knew 41 and 43, and Bush is not a guy who is a leader. He’s a decent enough fellow, but if you want someone to make hard decisions, he’s out of it. He avoids controversy, puts his head down.”\n\nAs commissioner of the GLO, he has played fast and loose with the Alamo, the state’s most sacred historic site, he added. Patterson was so incensed with what he called Bush’s lack of transparency and bungling of the monument’s restoration that he decided to run against him to get his old job back in 2018.\n\nWhen Patterson lost to Bush in the Republican primary for the commissioner’s job, he decided to back Bush’s Democratic opponent, Miguel Suazo, in the commissioner’s race. He wasn’t the only one.\n\n“Never in my memory have all primary opponents of a Republican candidate either endorsed the primary winner’s Democratic opponent or stated publicly they wouldn’t vote for the Republican primary winner,” Patterson said.\n\nIn addition to Patterson, losing Republican primary opponents in the race — Rick Range, Davey Edward and David Watts — all refused to back Bush.\n\n“There are things that are more important than your party,” said Patterson, who ran the GLO between 2003 and 2015. “The Alamo is Texas.”\n\nAmong the criticisms of Bush’s work on the restoration of the site, which will include a new museum with a rooftop garden, is a lack of transparency and the hiring of a Philadelphia design firm that suggested incorporating modern glass walls.\n\n“Calling in all these out-of-state so-called experts who knew nothing about the Alamo, nothing about what it means to Texas” was Bush’s first mistake, according to Range, a retired firefighter, in an interview with the Texas Monthly. \n\n“He cannot be trusted with the future of the Alamo,” Range told the magazine. “He’s flip-flopped more times than a catfish stranded on the bank of a river.”\n\nDespite the criticisms, Bush prominently features images of the Alamo in his campaign ads, which also include several references to Trump’s domestic policy greatest hits. \n\nIn his latest ad, Bush reminds viewers that he is a former Navy officer deployed to Afghanistan, and promises to finish “Trump’s wall.” He is filmed in dark glasses riding an all-terrain vehicle in the shadow of the wall that marks the southern border with Mexico. \n\n“It’s such bulls–t,” said Patterson. “Every damned politician talks about the wall, but the attorney general has no impact on shutting down the border. It’s all bulls–t. It’s almost what you have to do if you are a Republican in Texas.”\n\nStill, Patterson, like others, is hesitant to write off Bush just yet.\n\n“Do I think he has a chance?” he said. “I think he has a chance.”\n\nBush’s campaign and spokesman did not return The Post’s calls and emails Thursday.']",,Save The Alamo Committee,,,"[{'percentage': '5.2E-5', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.246022', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.000835', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.00047', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.002974', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.004278', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.04476', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.174709', 'age': '65+', 'gender': 'female'}, {'percentage': '0.109865', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.000365', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.260994', 'age': '65+', 'gender': 'male'}, {'percentage': '0.09771', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.025979', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.01805', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.002243', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.007512', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.002556', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000626', 'age': '18-24', 'gender': 'female'}]",Save the Alamo,187713745097888,696065088204725,1000001,,25000,29999,0,99
191,"['Connecticut is already split… Yankees vs. Red Sox.  Patriots vs. Giants. Our day-to-day lives are not a sporting event. Our economy, our safety, and our children’s education is real life, and we need to take it seriously. Time for common sense, not politics.']",['No Politics. Just Common Sense.'],Paul For Senate,['Common Sense is not so Common'],['pcforct.com'],"[{'percentage': '0.001931', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.003861', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.073359', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.183398', 'age': '65+', 'gender': 'male'}, {'percentage': '0.048263', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.121622', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.025097', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.158301', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.102317', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.084942', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.079151', 'age': '65+', 'gender': 'female'}, {'percentage': '0.065637', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.030888', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.021236', 'age': '18-24', 'gender': 'male'}]",Paul Crisci for State Senate,111019954865337,1022339338710473,10001,50000,1000,1999,0,99
192,"['Connecticut is already split… Yankees vs. Red Sox.  Patriots vs. Giants. Our day-to-day lives are not a sporting event. Our economy, our safety, and our children’s education is real life, and we need to take it seriously. Time for common sense, not politics.']",['No Politics. Just Common Sense.'],Paul For Senate,['Common Sense is not so Common'],['pcforct.com'],"[{'percentage': '0.000791', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.119462', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.000791', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.066456', 'age': '65+', 'gender': 'female'}, {'percentage': '0.032437', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.042722', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.143987', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.115506', 'age': '65+', 'gender': 'male'}, {'percentage': '0.172468', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.000791', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.094146', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.056962', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.061709', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.072785', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.016614', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.000791', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000791', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.000791', 'age': '13-17', 'gender': 'male'}]",Paul Crisci for State Senate,111019954865337,656035072366472,10001,50000,4000,4999,100,199
193,"['A two-page condensed Expose’ of the Exceptional Christian History of Western Civilization and the United States of America, by Apenniesworth. (8 min. read)\n\nMany Martyrs gave their lives in the 14 and 1500s wrestling the Bible from the hands of concentrated power. Kings, Priests, and Aristocracy held absolute rule over the common person, we were just serfs and peasants, there was no autonomy (The right to choose how one would live their own life or what they would think and believe.) The common person was destitute, poor, and enslaved in serfdom with an average life expectancy of 40 years.\n\nIn 1384, ""The Morning Star of the Reformation"", John Wycliffe wrote in the prologue to his translation of the Bible, “The Bible is for the Government of the People, by the People, and for the People”. (A very famous phrase adopted by Lincoln at the Gettysburg Address) The public gaining access to the Bible ended much illiteracy because everybody wanted to read the Word of God for themselves. In 1440 Johann Gutenberg, a devout Christian, revolutionized printing with the movable type printing press and delivered the first printed book the Bible to the common person fueling the Reformation of the 1500s.\n\nIn the early Modern Era (1600s) they found the Bible to be rational, logical, and natural, therefore they reasoned if God’s Word is rational and logical his creation must be rational and logical, and we can come to rational and logical conclusions about the world we live in. (Baconian Principle). These concepts fostered the birth of science and the end of much superstition, religious or otherwise. This Ideal facilitated many great Christians at the foundations of our Western Tradition: John Locke the Father of Classic Liberalism, (individual rights, property rights, free markets, religious tolerance self determination and personal responsibility). Sir Isaac Newton the Father of Physics and author of “Philosophiæ Naturalis Principia Mathematica” still thought to be one of the greatest works of all time. Newton\'s methods are still in use today and of interesting note he wrote more books on theology than math. Sir Francis Bacon the Father of the Scientific Method. Sir Robert Boyle the Father of modern Chemistry, The Reverend Thomas Reid the Father of the Intellectual movement called Scottish Common-Sense Realism. (Influential for 200 years plus in the West) The Reverend John Witherspoon disseminated Realism into American thought. He was the President at Princeton University, Signer of the Declaration of Independence and teacher of many of the Founders of our Nation including James Madison ""The Father of the Constitution"". Madison\'s Bible is loaded with personal notes. All these fountainheads included hundreds not mentioned in this short article quoted the Bible and defended the Faith.\n\nThe Pilgrims in 1620, a congregation of Separatist seeking freedom of religion ventured to the New World. They tried communal living and their governor William Bradford wisely gave up on the idea before they all starved to death and instituted private ownership. Their Pastor William Brewster also produced the Mayflower Compact, one of the first attempts at self-governance and democracy in our country.\n\nThe Reverend Thomas Hooker who some historians called the “Father of American Democracy” put forth unprecedented democratic principles that inspired ideas of individual rights, such as: ""due process of law,"" ""trial by a jury of peers,"" ""no taxation without representation"" and prohibitions against ""cruel and unusual punishment."" He was instrumental in the creation of the first constitution, “The Fundamental Orders of Connecticut” in 1639. It later became a model for all other constitutions in the colonies, including the United States Constitution.\n\nThe Reverend John Wise also said to be the Father of American Democracy by some historians of the past wrote “A Vindication of the Government of New-England Churches” in 1717 and many pamphlets in the early 1700s. Before and during the struggle for Independence his material was reprinted and circulated. Thomas Jefferson included many of the Rev. Wise’s concepts in the Declaration of Independence. The Rev. Wise demonstrated from the Bible that; God created all men equal and every man must be acknowledged by the state as equal to every man. The end of all good government is to promote the happiness of all and the good of every man in all his rights: his life, liberty, estate, honor, etc. The consent of the governed is the only legitimate basis for government. Taxation without representation is tyranny. Many of these are part of what was called Natural Law, Self-Evident Truths, and Natural and Unalienable Rights.\n\nThe ""First Great Awakening"" a Christian grass roots movement of the Mid 1700s solidified the Idea of freedom of Conscience. They reasoned that the government or even the church could not stand before God for you so a person’s moral and religious decisions were personal, and the government should stay out of it. The idea of a individual being responsible toward God is at the foundation of our concept of individual rights. The prevailing belief that there would be a day of reckoning also stifled much corruption in our religious self-regulating culture. They added the fact that Jesus let people accept or reject his message and never persecuted anyone that disagreed with him to bolster their argument for tolerance and disestablishmentarianism. Jesus\'s teachings were thought to be perfect Natural Law especially the ""Sermon on the Mount"" even by non-believers and Deists throughout history, Immanuel Kant for instance (An influential philosopher).\n\nDuring the revolutionary period the Black Robed Regiment (Preachers) preached fiery sermons ""Rebellion to Tyrants is Obedience to God"" and “No king but King Jesus”. The shot for freedom heard around the world was said to be fired in Lexington, Massachusetts where the towns militia from the local church and their Deacon the famous Captain Parker fought.\n\nThe ""Second Great Awakening” another Christian grass roots movement of the 1790s placed greater emphasis on man’s ability to change their situation for the better. In the belly of humanity, contemplating equality, liberty and freedom the worldwide practice of institutionalized slavery was questioned for the first time in history by government. In 1777 the State of Vermont became the first sovereign state to abolish slavery. All the Northern States abolished slavery with-in 20 years of our Constitution and fought and won a war that ended it nationwide with-in 80 years, remarkable compared to the history of the world. Out of this Christian movement came the “Benevolent Empire” in which women also became highly active in the cause of social reform and were considered a partner rather than subservient to men. The Reverend Charles Finney President of Oberlin College and influential in this movement was one of the first to give degrees to minorities and women in the early 1800s and worked in the Underground Railroad to free the slaves. A famous European historian and philosopher from this period Alexis de Tocqueville wrote ""Not until I went into the churches of America and heard her pulpits flame with righteousness did I understand the secret of her genius and power.""\n\nThe schoolbooks in America were full of Bible TRUTHS from the New England Primer to McGuffey’s Readers to Webster’s Blue-Back Speller for 300 years! The bestselling law books were also full of Biblical references such as Blackstone\'s commentaries on English Law and Locke\'s two Treatises on the Law. Prayer and the Ten Commandments were in our schools until the 1980s. and the Bible itself was read in schools until the 1960s.\n\nAfter the Civil War the “Social Gospel Movement” was born. They believed Christians should work for the betterment of humankind. You will recognize many names of organizations still around from this period like the Salvation Army and the YMCA (The birthplace of the Christian sports Basketball and Volleyball). They were heavily involved in the Progressive movement, fought for child labor laws, unions, and women’s rights, and were still active into the civil rights era of the 1960s on both sides of the political aisle. The Supreme Court in a unanimous decision declared that the historical record demonstrated that the United States is a Christian nation. (A Christian People) (Holy Trinity v. United States, 1892) If the founders were not Christian then why did all the States require a profession of Christianity to hold office, some even until 1961? (Not that I agree with Religious tests)\n\nPost Modern academics believe they can reshape our “repressed primitive animal natures” and create a Socialist Utopia through the power of education and a coolie cutter equity. They would free us from slavery to the ""Industrial State"" to enslave us all to an Inefficient Bureaucracy and Big Government Elitist getting rich on our tax dollars and telling us all what to think, believe and how to live. Cultural Marxist believe that they can control thought through controlling language thus Political Correctness was born and they believe history shapes culture so our heritage must be defamed. \n\nPost-Modern Neo-Marxist PHDs hate the Bible because it promotes many western norms and morals that are directly opposed to the Current Intellectual Oligarchy\'s: Post-Modern Existentialism, Neo-Marxist Critical Theory, Dialectical Materialism and Legal Positivism. Ever since the self-regulating effects of the Bible and God have been pushed from the public forum every bad statistic imaginable has gotten extremely worse from record STDs to 800% increases in incarcerations, Drug Abuse, Overdoses, Divorce, to Suicides just to name a few, but they still push their Godless agenda forward no matter the consequences!  Historically just compare the restraint of the Christian Lockean American Revolution to the Bloody Secular Rousseauian French Revolution of the same era which the intellectuals idolize that ended in despotism, murder. starvation and death! (As ALL the many Socialist experiments have!) These differing philosophies have clashed throughout history, you could even say the Two World Wars and the Cold War were fought over these differing concepts of government. We now fight this battle of ideas from with-in, our ideological enemy has gained enough strength to openly challenge our freedoms and is just as cunning as it ever has been if not more!\n\nRead the best seller of all time and year after year the life changing Bible, endorsed by millions through-out history. When too much partying enslaved me to drugs, alcohol and any selfish urge the Bible\'s truths broke the chains of bondage and led me to true freedom! Start your journey in the Gospel of John and the book of Romans to get started, they will give you an idea what the Bible is all about, the love of God and the redemption of humanity. 1st Corinthians 15:1-4 condenses the whole message. Faith in this message will open the door to true freedom which is God\'s Spirit of love in your heart. For a troubled soul read Romans Chapter 8 multiple times a day.\n\nMy website: https://2moresense.com/\n\na surprise: https://youtu.be/hjZ_IlP9c5A']",['Exposing the rising Post-Modern Neo-Marxist Cult and setting the record straight on American Exceptional Christian History! Welcome to 2moresense Website and Blog You could say The United States of America has fought two World Wars a Cold War and has had many conflicts with a competing ideology whos...'],Andrew Adam Theriac,['Home - 2 Moresense'],['2moresense.com'],"[{'percentage': '0.000506', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.06654', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.025806', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.01771', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.183681', 'age': '65+', 'gender': 'female'}, {'percentage': '0.186211', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.420114', 'age': '65+', 'gender': 'male'}, {'percentage': '0.060468', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.003669', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000506', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.004807', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.002151', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.004807', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.007211', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.001518', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001012', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.013283', 'age': '25-34', 'gender': 'male'}]",Apenniesworth,215540845475754,562260391732933,1000001,,9000,9999,0,99
194,"['ConnCAN is leading a movement to improve education outcomes for Connecticut’s kids. We bring advocates, policymakers, parents and educators together to give all kids access to the great public schools they deserve.']",,"50CAN, INC.",['ConnCAN'],['facebook.com'],"[{'percentage': '0.001098', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.032382', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.003293', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.016465', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.003293', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.159715', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.097695', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.030187', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.041712', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.005488', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.087267', 'age': '65+', 'gender': 'female'}, {'percentage': '0.000549', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.052689', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.255214', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.162459', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.024149', 'age': '65+', 'gender': 'male'}, {'percentage': '0.025247', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.001098', 'age': '18-24', 'gender': 'unknown'}]",ConnCAN,14358299361,520412176128279,1000001,,2000,2999,0,99
195,"['🎓 What does #EducationJusticeNow mean to you and your community? Ramon Garcia believes a greater focus on learning can be achieved with programs that address behavioral issues, so kids can reach their full academic potential.\n\nHouse Bill 5283 would invest MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach. \n\n➡️ Send an email to legislators with a few clicks https://p2a.co/IjyotSO']",,"50CAN, INC.",,,"[{'percentage': '0.681934', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.20639', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.111677', 'age': '45-54', 'gender': 'female'}]",ConnCAN,14358299361,3040580829492726,5001,10000,10000,14999,100,199
196,"['I’ve fought to restore Connecticut’s finances, while cutting taxes and investing in schools, health care, and public safety.']",,NED FOR CT,,['nedlamont.com'],"[{'percentage': '0.000459', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001263', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.076711', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.090147', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.084635', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.146991', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.149747', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.094511', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.15526', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.072807', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.08831', 'age': '65+', 'gender': 'female'}, {'percentage': '0.036863', 'age': '65+', 'gender': 'male'}, {'percentage': '0.000689', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001148', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000459', 'age': '65+', 'gender': 'unknown'}]",Ned Lamont,196395247518,673795330492023,50001,100000,30000,34999,900,999
197,['Flavored e-cigs are packed with nicotine and pose a danger to kids’ health. It’s time for Connecticut to join their neighboring states in ending the sale of flavored e-cigs.'],"['Protect Kids, Not Big Tobacco']",TOBACCO-FREE KIDS ACTION FUND,['End the sale of flavored e-cigs'],['flavorshookkidsct.org'],"[{'percentage': '8.6E-5', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000599', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.002483', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.015669', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.019265', 'age': '65+', 'gender': 'male'}, {'percentage': '0.087165', 'age': '65+', 'gender': 'female'}, {'percentage': '0.251477', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.170134', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.362274', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.037161', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.007449', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.0405', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.001284', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.002141', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001969', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000342', 'age': '18-24', 'gender': 'female'}]",Campaign for Tobacco-Free Kids,7030901126,383933550266492,10001,50000,20000,24999,900,999
198,"['I’ve fought to restore Connecticut’s finances, while cutting taxes and investing in schools, health care, and public safety.']",,NED FOR CT,,['nedlamont.com'],"[{'percentage': '0.00058', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001934', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.034229', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.07252', 'age': '65+', 'gender': 'male'}, {'percentage': '0.031135', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.098434', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.152002', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.106943', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.111197', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.157223', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.102688', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.122607', 'age': '65+', 'gender': 'female'}, {'percentage': '0.003868', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.003094', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001547', 'age': '65+', 'gender': 'unknown'}]",Ned Lamont,196395247518,515772360047549,100001,500000,10000,14999,300,399
199,"['I’m fighting for Connecticut families by suspending the gas tax, providing much-needed relief for everyone at the pump.']",,NED FOR CT,,['nedlamont.com'],"[{'percentage': '0.000503', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000705', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.104209', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.087294', 'age': '65+', 'gender': 'female'}, {'percentage': '0.043697', 'age': '65+', 'gender': 'male'}, {'percentage': '0.08377', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.149416', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.097865', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.131897', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.152739', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.068969', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.076722', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.001208', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000906', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000101', 'age': '25-34', 'gender': 'unknown'}]",Ned Lamont,196395247518,558899288783243,50001,100000,30000,34999,800,899
200,"['I’m fighting for Connecticut families by suspending the gas tax, providing much-needed relief for everyone at the pump.']",,NED FOR CT,,['nedlamont.com'],"[{'percentage': '0.000387', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001031', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.138216', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.101857', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.132027', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.089479', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.078004', 'age': '65+', 'gender': 'female'}, {'percentage': '0.069366', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.099794', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.126483', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.118747', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000903', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.042161', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001031', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000516', 'age': '25-34', 'gender': 'unknown'}]",Ned Lamont,196395247518,428368279057305,10001,50000,25000,29999,800,899
201,"['I’ve fought to balance our state’s budget, while investing in schools, health care, and public safety.']",,NED FOR CT,,['nedlamont.com'],"[{'percentage': '0.00074', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001294', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.083765', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.036797', 'age': '65+', 'gender': 'male'}, {'percentage': '0.056028', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.080621', 'age': '65+', 'gender': 'female'}, {'percentage': '0.157175', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.163277', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.09449', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.129993', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.060836', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.133321', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.00074', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000555', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.00037', 'age': '35-44', 'gender': 'unknown'}]",Ned Lamont,196395247518,800753051314934,10001,50000,15000,19999,400,499
