,text,advertiser_name,platform,words,m_label,
152,the stakes could not be higher in this election under greg abbott s failed leadership texas has adopted some of the most radical harmful and cruel policies in the entire country and our families are paying the price as governor beto will get to work on the issues that actually matter to texans like reducing health care costs investing in our public schools and bringing good jobs to this state we set an ambitious goal to raise 1 000 000 by the end of the month can you chip in 15 or 20 to ensure that we have the resources we need to go the distance and win this election,Beto for Texas,facebook,"health care,health,care costs,jobs,chip in,public schools","donation,economic,education,health",
153,the recall affects 2020 through 2022 model year vehicles and includes the lexus lx nx hybrid nx phev ls hybrid toyota rav4 hybrid mirai rav4 prime sienna venza and toyota highlander hybrid models,TEXAS WATCH,facebook,no words,no topic,
154,after texas passed one of the most restrictive abortion bans in the country henry cuellar doubled down on his opposition to reproductive healthcare he has voted repeatedly to defund planned parenthood make healthcare less accessible and ban abortion coverage for low income people it should be simple but our constitutionally protected rights are constantly being attacked it s time south texas has a representative that will fight tirelessly for our health care and reproductive freedom early voting takes place may 16 20 vote for jessica cisneros,Jessica Cisneros for Congress,facebook,"health care,health,defund planned,healthcare,abortion bans,defund planned parenthood,abortion,planned parenthood","health,social and cultural",
155,the biden border crisis is still out of control customs and border patrol have encountered over 1 million people since october and the numbers are growing by the day we must secure our border so we can secure our communities throughout texas,Tan Parker Campaign,facebook,"border,border crisis",immigration,
156,vote laura hill for house district 93,Laura Hill for Texas,facebook,no words,no topic,
157,laura hill will protect us from liberals who want to force small businesses to comply with their virtue signaling covid mandates,Laura Hill for Texas,facebook,"covid,small businesses","covid,economic",
158,when covid closed the door to the classroom the door opened for parents to see what was going on in our schools vote laura hill for hd 93 laura will make sure parents have the final say in their children s education and she will keep liberal agendas away from our kids education,Laura Hill for Texas,facebook,"education,covid","covid,education",
159,laura hill proven track record of supporting the police and prioritizing public safety we need laura hill,Laura Hill for Texas,facebook,"police,public safety",safety,
160,harlandale isd is asking voters to approve a bond you can vote on right now so we re learning more about what the impact of it would be by talking to those closest to it in proposition a of the harlandale isd bond there s money for a jrotc building at mccollum so we sat with lt col burton to find out what this would mean for the mhs jrotc students instructors more info videos dropping daily early voting today may 3rd election day may 7th,La Prensa Texas,facebook,no words,no topic,
161,breaking news the texas court of criminal appeals stayed the april 27 execution of melissa lucio for a crime that never occurred she finally has a chance to prove her innocence in court,"INNOCENCE PROJECT, INC., THE",facebook,criminal,safety,
162,new shirts coming soon let us know which you like we can also custom make shirts as well so your shirt can speak for you custom shirt speakyourmind american fishing texas texasgirl shopsmall southerncreationsgroup,,facebook,no words,no topic,
163,vote no on gisd bond early voting through may 3rd,Hunt County Conservative PAC,facebook,no words,no topic,
164,pride corpus christi would like to welcome nami stone to our board of directors we are excited that with our expanded representation comes a more effective pride presence in the coastal bend for years to come nami stone grew up in central oklahoma and has lived in the coastal bend for 12 years she has been a long time contributor to lgbtqia causes in her personal academic and professional life as a local realtor she advocates for equity in home ownership for protected classes through a variety of organizations and boards she currently sits on the south texas association of realtors diversity committee and is a member of groups like the international keller williams rainbow network the lgbtq real estate alliance and national gay and lesbian real estate professionals she also works to improve conditions in the lgbt housing and homeless communities through her participation in the lgbt housing initiative through this organization she contributes a portion of her commission directly to local first time home buyers in the lgbtqia community and donates to organizations helping homeless lgbtqia youth nami is honored to join the pride corpus christi board she attended the early days of pride when it was just a block party and is proud to have marched in the inaugural corpus christi pride parade and every parade since then she is excited to see the organization s continued growth in the coastal bend nami also serves on the board for the women s entrepreneurship society of corpus christi she loves spending time outdoors competing at trivia night traveling and hanging out with her amazing family to learn more about the lgbt housing initiative or to contact nami directly visit her website at,"The Mosaic Project of South Texas, Inc.",facebook,"lgbt,gay,homeless,lesbian","economic,safety,social and cultural",
165,i am honored to have the endorsement of texas state hd 67 representative jeff leach i look forward to the opportunity to serve all the citizens of allen as your next city councilman,Ben Trahan campaign ,facebook,no words,no topic,
166,urgent lgbtq kids and families are under attack like never before can you rush a donation and join our efforts to put lgbtq people in power across the country and stop these hateful laws,LGBTQ Victory Institute,facebook,"donation,laws","donation,governance",
167,matthew harris has posted some audio of carl tepper attacking the american cancer society and the komen foundation with carl tepper saying cancer research is a waste of money i support more cancer research dollars for texas tech to find better treatments and hopefully someday a cure,David Glasheen Campaign,facebook,no words,no topic,
168,now is the time to stop george p bush we now finally have the opportunity to put the end to the reign of george p bush if we do not bush could very well end up as governor of texas or god forbid the president of the united states that would be an absolute disaster now is the time that george p bush must be stopped i m sure that you are aware of bush s past actions not only with regard to the alamo fiascos but his mishandling of all the other functions of the texas general land office i need not rehash all of that here suffice it to say that he has failed every single duty he has as commissioner of the land office ken paxton has consistently been a strong conservative attorney general unlike bush paxton has performed the duties of his office well even exemplary win after win after win for texas over sanctuary cities the federal government etc as far as paxton s legal problems go i find it hard to believe that if they really had a case against him they would have waited for over seven years now to bring him to trial furthermore anything that paxton may or may not have done pales in comparison to the malfeasance of george p bush in the campaign for the run off bush is going to viciously attack paxton portraying himself as mr integrity nothing could be further from the truth george p bush and the texas general land office has received well in excess of one hundred million dollars for the alamo plan from the texas legislature bush hid all of that money under various 501 c 3 entities and has consistently refused to disclose where all of it went he has played an intricate shell game when called on the carpet by the texas land and resource management committee in march of 2019 to explain the money bush simply refused to show up twice when a state audit was finally ordered by lt governor dan patrick it showed that of the over one hundred million dollars 75 million dollars of that money is gone all we do know is that 16 million went to buy the three buildings across the street from the alamo the remainder went to parties unknown and undisclosed we are forced to conclude that much or most of that money went into the pockets of bush cronies associates and hired consultants and that s some 60 million dollars of taxpayer money missing this is one of if not the largest scandals in the history of texas but so far no one has held him to account we now have the opportunity to do that anyone can vote in the republican run off whether or not they voted in the march 1 republican primary the only people who cannot vote in the run off are those who voted in the democratic primary this year so even if you missed the primary please make certain you vote in this run off many texas voters are unaware that they can vote in the republican run off we must tell them we can defeat bush but only if we get all of our people out to vote do not be complacent assuming that paxton will be the winner merely because he got the largest vote in the march primary bush will be spending millions of dollars to viciously smear paxton all over the state we must work hard to counteract that the number of texans who are aware of bush s despicable actions regarding the alamo is miniscule and here in texas there are still multiple hundreds of thousands of voters who go in and mindlessly vote for the bush name in total ignorance of the facts george p bush could absolutely win this examples are numerous where a sitting incumbent got defeated in a run off by the second place finisher in the primary we simply cannot allow that to happen moreover do not relax your efforts because some recent polls show paxton with a substantial lead over bush these polls are merely snapshots in time of what the people are saying who are actually being interviewed they also do not reflect the impact of the overwhelming media barrage that is yet to be unleashed against paxton by bush the real result depends entirely on who actually shows up to vote in the election we must not forget that fact we must leave nothing to chance we must make the supreme effort right up to election day i am asking that each and every one of you make it a personal crusade to defeat george p bush i am asking that you send this message to every person in texas that you know and ask them to all spread the word also please hit the share button this time all of you then call and or email everybody that you can and ask them to do the same thing the margin of victory in this race could be razor thin that s why it is imperative that we get as many people as possible out to vote the run off will be on tuesday march 24 the early voting starts on monday may 16 and runs for only five days ending on friday of that same week it takes time for this message to spread so please begin your efforts right now we have a little over 2 weeks to get the word out to all of our voters if we all do this bush can be stopped once and for all thank you very much for your continued action remember the alamo rick range president save the alamo committee p s this will most likely be our last chance to stop george p bush in his planned upward climb please give this your very best effort if we do not get everyone possible out to vote in the multiple thousands bush could very well slip by and defeat paxton this is a very real danger to prevent that we must turn out an army remember that in the march primary over one half of the total vote was cast during the early voting period we therefore must get the word out on bush s true record immediately the vast majority of texans still to this day are totally unaware of bush s actions against the alamo we must tell them we cannot afford to lose the early vote so please start work on this right now if we can stop bush here and now it will be another tremendous victory just like the alamo cenotaph,Save The Alamo Committee,facebook,"sanctuary,sanctuary cities",immigration,
169,securing america s southern border nearly two thirds of which runs through texas is the prerequisite without which any other changes to u s immigration law cannot be made,Texas Public Policy Foundation,facebook,"law,border,immigration,immigration law","governance,immigration",
170,meet author glenda thompson description texas ranger noah morgan has his life together with a great job and the girl of his dreams too bad it s all based on a lie a single phone call threatens to bring it all crashing down after an irate citizen complains shoddy workmanship has left him with a booby trapped driveway and the local sheriff s office is too busy to respond noah takes the call the investigation of local scam artists uncovers a human trafficking ring noah fights to avoid being swept back into the sights of his murderous family people he escaped at the age of seventeen can he keep his past a secret or will his carefully crafted life come to a violent end,,facebook,no words,no topic,
171,if you love european history or women s history you don t want to miss the story of the junta de damas de honor y mérito our latest lsu press book society women and enlightened charity in spain reveals how this group founded in 1787 created an enlightened legacy for modern feminism in spain please join us thursday may 5th at 2pm ct 3pm et for a live virtual discussion and q a featuring co editor catherine m jaffe contributor betsy lewis and this fascinating new book,LSU Press,facebook,no words,no topic,
172,rising oil demand and higher prices have increased oil production and accidents at the permian basin,,facebook,oil production,environment,
173,join nra for the 2022 annual meetings and exhibits may 27th 29th at the george r brown convention center in houston texas free admission for nra members and immediate family members walk up registration available at doors of event register now for a freedom filled weekend,NATIONAL RIFLE ASSN OF AMERICA,facebook,nra,safety,
174,nra 2022 annual meetings and exhibits in houston texas may 27th 29th at the george r brown convention center 14 acres of guns and gear entertainment and special events free admission for nra members walk up membership registration available at event register now to receive your admission badges,NATIONAL RIFLE ASSN OF AMERICA,facebook,"nra,guns",safety,
175,tcu s second annual reconciliation day included a panel discussion an announcement of progress made on seven recommendations issued in the 2021 first year survey report and celebratory entertainment the event also featured an update on charley and kate thorp a formerly enslaved couple who were instrumental in building the infrastructure that became the first home of tcu in thorp spring texas tcu welcomed several of the thorps living descendants as guests,Texas Christian University,facebook,no words,no topic,
176,earlybird tickets are on sale now for the 2022 black maternal and mental health summit july 21st july 22nd in collaboration with own every piece we can do more and uthealth this year our summit is hybird and will provide attendees in the health profession clinical providers educators social workers counselors community advocates and researchers with information on providing compassionate maternal perinatal and postpartum care to women from marginalized communities link in bio bmhs2022 bmmhw2022 training cultural bias community mind mindfulness nurses doctors socialworker midwives doulas changethesystem collaboration houstontx savingourmamas mentalhealth birthtrauma therighttochoose blm blackmamasmatter,,facebook,"health,workers,black","economic,health,social and cultural",
177,we would like to thank dan huberty for his many years of service and for his expression of support of the humble isd bond if you look at the work the district has done to prepare for this bond it became clear to me that the bond is needed and appropriate at this time therefore i respectfully request that you vote for the 2022 humble isd bond both proposition a b and approve the statewide ballot initiatives,Humble ISD Voice of Taxpayers FOR Education,facebook,no words,no topic,
178,when we work together for a common goal we can deliver real results my bipartisan legislation with rep ellzey to expand va facilities across the country including here in dallas is proof of that and i will continue to work across the aisle to get things done for our veterans,Rep. Colin Allred,facebook,no words,no topic,
179,qué ha pasado con daca daca es un programa que se encuentra congelado actualmente este ha sido atacado varias veces por muchos políticos republicanos nosotros esperamos tener noticias pronto del programa recordemos que daca es un beneficio para quienes entran siendo menores de edad incluye una protección a la deportación y un permiso de trabajo si necesita ayuda personal llame hoy para reservar una consulta gratuita al 469 393 5856 o visite mi pagina de web para más información,"Saenz-Garcia Law, PLLC",facebook,no words,no topic,
180,representative glenn rogers is a proven conservative he helped strengthen texas pro life laws and increase border security funding,Glenn Rogers Campaign,facebook,"pro life,border,laws,border security","governance,immigration,social and cultural",
181,it s t shirt time come celebrate with us at the jersey shore we re throwing a jersey shore dance party to celebrate abortion access in the rgv reproductive justice orgs down here have been working hard non stop to make sure abortion is accessible for the rgv we deserve a party and you re invited,,facebook,"reproductive justice,abortion access,abortion","health,social and cultural",
182,dr glenn rogers helped lead the effort to increase border security funding by 2 8 billion stand with dr rogers to secure the border,Glenn Rogers Campaign,facebook,"border,secure the border,border security",immigration,
183,join us friday night on june 10th for an evening of laughter and love with 3 lgbtqia comedians ruby dickulous arielle isacc norman and ky krebs at the coastal bend wellness foundation community room tickets are 25 each and are available on the pride corpus christi website beverages and snacks will be available for sale at the event,"The Mosaic Project of South Texas, Inc.",facebook,no words,no topic,
184,today i ve asked the lieutenant governor to call an inquest into the death of bishop evans and four other national guardsmen we have seen the problems over the last several months with operation lonestar which culminated last week with the drowning of bishop evans bishop evans family deserves to know the facts of how he passed on our texas community deserves to have answers into his death and the deaths of the four other national guardsmen please join me in asking the lieutenant governor to call a special committee hearing and ask the governor and the speaker of the house to do the same,Roland Gutierrez Campaign,facebook,no words,no topic,
185,we re at a crisis point the supreme court has already allowed texas to decimate abortion access paving the way for other states to chip away at abortion protections around the nation by this summer the court could overturn roe v wade ending nearly 50 years of precedent and with it the constitutional right to abortion but we can t stop fighting now are you with us,Planned Parenthood Action Fund,facebook,"supreme court,overturn roe,abortion,roe,roe v wade,abortion access,wade","governance,health,social and cultural",
186,early voting is happening now magnolia community center 422 melton st 8 am to 5 pm,Catherine Harkey Yowell,facebook,no words,no topic,
187,neglecting cyber security can cost your business tremendously head of info security jim orr addresses the current increase in cybercrime for our customers in colorado and texas read the full text cybersecurity cybercrime protection,,facebook,cybersecurity,safety,
188,hey forneyfamily watch the brief video below to get the facts about the forney isd 2022 bond referendum visit www forneyisdgrowth net for more information did you know forney isd is expected to grow from almost 15 000 students today to 35 000 students a 135 increase in just 10 years just like in 2019 with the passage of this bond referendum the forney isd tax rate will not increase and may even continue to lower early voting is april 25 may 3 and election day is saturday may 7 2022,Forney ISD,facebook,"tax,tax rate",economic,
189,if you believe you can make a difference then you will make a difference believe in yourself your family and your community and you will win lindsay fox every election is determined by the people who show up show your support for my campaign by voting early voting starts monday april 25th wilco org departments elections voter registration,Rene Flores Campaign,facebook,no words,no topic,
190,heads up bulverde area we ve launched a local group in your area focused on making texas free and independent come connect with other texans who are ready to texit,Texas Nationalist Movement,facebook,no words,no topic,
191,heads up bullard area we ve launched a local group in your area focused on making texas free and independent come connect with other texans who are ready to texit,Texas Nationalist Movement,facebook,no words,no topic,
192,heads up boerne area we ve launched a local group in your area focused on making texas free and independent come connect with other texans who are ready to texit,Texas Nationalist Movement,facebook,no words,no topic,
193,heads up bacliff area we ve launched a local group in your area focused on making texas free and independent come connect with other texans who are ready to texit,Texas Nationalist Movement,facebook,no words,no topic,
194,what if instead of having a governor who s focused on stunts that jack up inflation we had a governor who s focused on solutions that reduce your property taxes,Beto for Texas,facebook,"taxes,inflation",economic,
195,stay in the know with all the dates you need to know visit www sugarlandtx gov elections for more information on the city of sugar land election and key voting locations,"City of Sugar Land, TX",facebook,no words,no topic,
196,sample ballot for the may 7th elections held in grand saline vote kathy smith for grand saline city council,Robbie Kathlene Smith,facebook,no words,no topic,
197,passing city of lavon alcohol prop a 5 500 000 more in local spending,Restaurant & Beverage Alliance of Texas,facebook,alcohol,safety,
198,voting rights are under attack in texas and across the country sign our petition calling for federal voting rights protections,COLIN ALLRED FOR CONGRESS,facebook,voting rights,governance,
199,tla presents alexandra mealer for harris county judge come out to meet alexandra mealer who will be on the may 24th republican runoff election for harris county judge,Texas Liberty Alliance PAC,facebook,no words,no topic,
200,as a strong fiscal conservative i am dedicated to upholding our values in texas i appreciate the associated republicans of texas for their endorsement as they are dedicated to strengthening the future of conservatism in our state as state representative i will fight to lower taxes protect our law enforcement and close the border join me on may 24 and vote frederick frazier for state representative,Frazier for Texas Campaign,facebook,"law,taxes,border","economic,governance,immigration",
201,since announcing for re election evenings and weekends have been spent knocking on the doors of 500 neighbors to talk about my work as mayor and town vision 2035 which lays out what the town residents have shared they want for the future link to town vision 2035 early voting begins monday morning i ask that if you are happy with the progress our town has made in these last 18 months and want to continue this path of fiscal responsibility and transparency that you cast your vote for me as mayor i also ask that your support greg gaalema and mady killfoil as candidates for council thank you,T Lynn Tompkins Jr.,facebook,no words,no topic,
202,are u s food processing plants under attack check out this encouraging word from pastor bunjee garrett,Calvary South Austin,facebook,no words,no topic,
203,i am proud to be 100 pro life and to be endorsed by texas alliance for life the sanctity of life is close to my wife and i as we are eternally grateful that our children s birth mothers chose life to help us complete our family as your next state representative i will always stand up for the rights and life of the unborn because i know first hand just how sacred and cherished life is,BARRON CASTEEL FOR TEXAS,facebook,"mothers,sanctity of life,pro life,unborn",social and cultural,
204,vote ryan pitts for wisd trustee place 7 fiscally responsible advocate for teachers champion for students voice for parents early vote now until may 3rd election day may 7th,Ryan Pitts Campaign for WISD,facebook,"teachers,fiscally","economic,education",
205,vote ryan pitts for wisd trustee place 7 early voting now until may 3rd election day may 7th,Ryan Pitts Campaign for WISD,facebook,no words,no topic,
206,vote ryan pitts for wisd trustee place 7 early vote now until may 3rd election day may 7th,Ryan Pitts Campaign for WISD,facebook,no words,no topic,
207,frederick frazier has spent 26 years in texas law enforcement and served 14 years as a special deputy u s marshal he was twice recognized by the white house for his outstanding work and i was proud to appoint him to my law enforcement commission as a dallas police officer he will be the first and only member in the texas house to also serve as an active member of a police department he is a strong conservative who has been a great supporter of mine frederick frazier has my complete and total endorsement for the texas house donald j trump,Frazier for Texas Campaign,facebook,"law,police department,police officer,police","governance,safety",
208,texas needs jamee jolly s proven leadership and business acumen to help cut property taxes for our families her record as the president of the plano chamber of commerce will allow her to be an immediate contributor to my efforts to keep the texas economy booming i am proud to endorse conservative jamee jolly for texas house and urge everyone to support her in the may 24th republican primary runoff said greg abbott,Jamee Jolly Campaign,facebook,"taxes,economy",economic,
209,we were thrilled with our results from what is now the first round of primary voting i am so thankful for all of the work that helped us to achieve a first place finish heading into the runoff we aren t done yet though the runoff election will be held may 24 with early voting during the week of may 16 20 i am so humbled by your support let s all come back out one more time to ensure a republican win in november,Jamee Jolly Campaign,facebook,no words,no topic,
210,thank you to the associated republicans of texas for endorsing my campaign the art is a non profit organization committed to keeping a republican majority in the texas legislature and upholding conservatism in our state as state representative i am dedicated to protecting our constitutional rights fighting for energy independence and lowering property taxes make sure to get to the polls on may 24th and vote jamee jolly for state representative,Jamee Jolly Campaign,facebook,"taxes,energy independence","economic,environment",
211,icymi this is an critical public service announcement dallas ft worth has experienced a 485 spike in fentanyl deaths because of the lacing of prescription drugs ordered online or from street sources this spike is spreading across the nation two texas sheriffs share their experiences of witnessing teenagers businessmen and others being zipped into body bags after unsuspectingly ingesting meds laced with lethal doses of fentanyl please share this podcast and save a life,,facebook,"drugs,doses,meds,prescription","health,safety,social programs",
212,thank you for all of your incredible support because of you we took the first place seat heading into the runoff there is lots of work to be done and we need you to vote one more time on may 24th early voting will take place may 16 20 we are close to the finish line and your support will get us there,Stan Gerdes for State Representative,facebook,no words,no topic,
213,early voting is from april 25 may3 this election vote for candidates who support our public safety join us in supporting dr jennifer wilson for city council district 5,Lubbock Professional Firefighters Association,facebook,public safety,safety,
214,public schools are being overrun with crt and other radical curricula here s how to fight back,Texas Public Policy Foundation,facebook,"curricula,public schools","education,social programs",
215,it s time to take back our schools,Texas Public Policy Foundation,facebook,no words,no topic,
216,cedar park was just named one of the top 10 cities in texas to start a small business thank you to our council members jim penniman morin for cedar park mel kirkland cedar park city council place 2 anne k duffy place 3 cedar park city council eric boyce cedar park city council place 4 kevin harris cedar park city council place 5 and heather jefts cedar park city council place 6 for their positive collaborative city focused work which has been refreshing and thank you to the can do mindset of our city organization residents and chamber of commerce for helping make this honor true of our fantastic community also kudos to our neighbor to the north leander who also made the list corbin,Corbin Van Arsdale Campaign,facebook,small business,economic,
217,hagan sus preguntas en los comentarios si necesita ayuda personal llame hoy para reservar una consulta gratuita al 469 393 5856 o visite mi pagina de web para más información,"Saenz-Garcia Law, PLLC",facebook,no words,no topic,
218,emergency melissa lucio is still scheduled to be executed in two days this is an all out sprint to save her life keeping calling greg abbott and ask him to stop the execution of an innocent person 956 446 2866,"INNOCENCE PROJECT, INC., THE",facebook,no words,no topic,
219,icymi this is the mayoral candidate forum hosted by the lubbock economics council that took place at lubbock christian university on april 19th 2022 please watch and share,Adam Hernandez for Mayor,facebook,no words,no topic,
220,conozca sus derechos como migrante es un recurso gratuito sobre lo que los migrantes pueden esperar y los riesgos al cruzar la frontera entre texas y méxico incluye información sobre los derechos de los migrantes rumores falsos que impactan el proceso de asilo y migración como título 42 operación lone star y mpp la información está disponible en español kreyòl e inglés,Texas Civil Rights Project,facebook,no words,no topic,
221,what is an all of the above energy solution watch our video below to find out why it s important for texas,Texans for Economic Liberty,facebook,no words,no topic,
222,i am proud to have earned the endorsement of senator dawn buckingham senator buckingham has served the lakeway area selflessly in the texas senate i will serve on the lakeway city council with the same tenacity to ensure we keep our roads safe lower our property taxes and keep lakeway beautiful,Jennifer for Lakeway,facebook,taxes,economic,
223,puedo viajar en el país solo con pasaporte si eres indocumentado y tienes pasaporte podrías viajar en el país te recomendamos tener cuidado en los aeropuertos internacionales pues habrá presencia de migración es un riesgo que corres de todos modos si necesita ayuda personal llame hoy para reservar una consulta gratuita al 469 393 5856 o visite mi pagina de web para más información,"Saenz-Garcia Law, PLLC",facebook,no words,no topic,
224,we need to take back america now let s get organized today sign up for insider information,Conservative American Strategies,facebook,no words,no topic,
225,watch major endorsement from congressman ronny jackson r tx 13 retired navy rear admiral and former white house physician to president trump join me in supporting and donating to kyle sinclair and let s defeat socialism in america donate today,COMMITTEE TO ELECT KYLE SINCLAIR FOR CONGRESSIONAL DISTRICT 20,facebook,donate,donation,
226,it is with great appreciation and humility that i share this endorsement this man had a distinguished career in galveston county law enforcement and he served the citizens of league city with distinction written by retired league city police department detective cory beyer my name is cory beyer i am a retired police officer who dutifully served galveston county and league city for 23 years i began my law enforcement career as a corrections deputy in the galveston county jail in 1999 i worked nights in the jail for almost three years i later transferred to the gcso patrol division where i worked in bolivar and then in dickinson for about five years in 2006 i moved to the league city police department where i worked in the criminal investigations division for 15 years as an analyst and an investigator prior to being in law enforcement i was an airborne infantryman in the 82nd airborne division for four years and in the texas national guard for two years i have spent much of my life dedicating myself to the citizens of galveston county i am offering to you my full and heartfelt endorsement of darrell kelemen for galveston county sheriff i ve often joked that darrell is the most influential law enforcement official the public has never heard about i can make this joke because darrell was my supervisor for many years we worked on many projects in that time for instance many of you may not be familiar with the gulf regional information and dispatch grid consortium there are about 60 law enforcement ems and fire agencies using grid resources which is an amazingly complex network of hardware and public safety professionals the grid consortium is the central nervous system for all the public safety agencies confined to an area about 1 3rd the size of connecticut grid ranges from sugar land the port of houston utmb galveston almost all the galveston county agencies all the agencies around clear lake and many more the group is one of the largest consortiums seen anywhere in the united states darrell has been the single most important person responsible for the grid s ever growing size and consistently high performance grid has been one of the most transformative endeavors for public safety in galveston county and the surrounding areas since it began almost 15 years ago darrell has all of the front line officer experiences you d hope for in a leader he also has all of the experiences of a well rounded executive you d hope for in a leader he s gained these experiences by managing every one of the major components in a modern police department from the patrol division to dispatch jail and the records and support division there likely isn t a public safety problem darrell hasn t encountered and experienced from the perspective of each one of these important public safety components darrell is an expert in all things related to law enforcement management and operations i do not make this statement lightly his experiences as a leader have been magnified by his management of the grid which has put him at the forefront of all modern policing problems his telephone provides a constant stream of calls from the most highly regarded public safety leaders in galveston county the greater houston area and from around the country i ve travelled with darrell across texas to teach public safety classes to executives i ve witnessed police chiefs from around the county call darrell for advice i ve seen darrell barter with vendors to get the best possible pricing on multi million dollar technological purchases i ve worked with darrell as he brought police operations in line with superior service delivery models and law enforcement best practices his attention to detail would make a bomb technician jealous i know darrell believes in public transparency and he holds the ideals of democracy and due process as the ultimate objective and goal trying to summarize all of what i know and experienced with darrell into words is incredibly difficult none of what i m saying fits on a bumper sticker very well and that s because running a professional and modern law enforcement agency doesn t condense easily so don t take my word for it i d ask you to speak with all the chiefs of police in the grid consortium ask them this one question which candidate for galveston county sheriff has been to your agency more times to assist with organizational structuring problem solving through evidence based policing the improvement of service delivery models or the purchasing of transformative technology there s only one answer darrell kelemen,Kelemen For Sheriff Campaign,facebook,"law,due process,police,public safety,criminal,police department,police officer","governance,safety",
227,show your texas pride and shop our brand new spring collection now,Texans for Economic Liberty,facebook,no words,no topic,
228,be sure to join me for lunch this saturday at thornhill pharmacy i look forward to hearing your priorities for the state of texas and sharing my vision on how to address them as the next state representative of house district 84,Carl Tepper for State Representative,facebook,no words,no topic,
229,i m going to ask you to donate to our grassroots campaign but first let me tell you why it is so important to contribute at this exact moment first we officially won our primary campaign on march 1st with over 90 of the vote then we immediately began a general election fight with greg abbott who has over 50 million in the bank and billionaire donors who can cut him massive checks whenever he calls now we re building the biggest volunteer organizing team in the country and these volunteers are already at the doors of texas voters building relationships and connecting with those who will decide the outcome of this election chipping in now ensures that we will have the resources to hire more organizers run ads and reach every single eligible voter in texas with our unifying message can you donate today to help us and defeat abbott,Beto for Texas,facebook,"chipping in,donate,contribute",donation,
230,43 07 that represents the historic people powered campaign we are building it s folks like you teachers firefighters health care professionals parents and so many more chipping in 10 20 or 50 at a time it represents our movement and our commitment towards building a bigger better more inclusive future in texas we know abbott is attempting to slow our momentum spreading lies about our movement with tv ad buys backed by his million dollar corporate donors but while abbott tries to divide and distract us we are focused on uniting texans around a shared vision for great jobs world class schools affordable health care a future where everyone in this state can live to their full potential can you pitch in today to help us prove the strength of our grassroots movement and elect beto as the next governor of texas,Beto for Texas,facebook,"health care,health,affordable health care,teachers,jobs,chipping in,affordable health","donation,economic,education,health,social programs",
231,segmento de radio de inmigracion con la nuestra si necesita ayuda personal mandenos mensaje directo o llame hoy para reservar una consulta gratuita al 210 796 0284,Galan Law Firm PLLC,facebook,no words,no topic,
232,ben and jerry were exposed for their hypocrisy and double standard toward israel,AIPAC,facebook,israel,foreign policy,
233,as a team we believe in equity inclusion and love for all this saturday april 30 we invite all of our fans to join us for pride night it will be a celebration of family community love and fun the team will be wearing custom pride jerseys to celebrate the lgbtq community each jersey will be signed and available for auction after the game while the spartans take on the visiting washington prodigy on the field the stands will be a celebration of pride and love we invite all of our friends fans family allies supporters and partners to join us at max goldsmith stadium lewisville high school we will be honoring dfw lgbtq allies business and community leaders who have made a lasting impact on our program and the dfw community join us for a night to remember pride dfw celebrate love sports beelite tes weelite community,,facebook,school,education,
234,my mission is to keep taxes low help preserve our natural resources i want to be a help to conroe s residents and provide honesty integrity in city hall i m asking for your vote on may 7th,Wood For Conroe Campaign,facebook,"natural resources,taxes","economic,environment",
235,another weekend in leander friday started out in crystal falls at the 19th hole pavilion for the crystal falls hoa candidate forum leander city council thank you to all who attended and asked questions from there i headed to leanderthal distilling for an informal chat with residents and some delicious food from lazy g bbq company saturday began with a friend hosting a booth at the old town leander farmer s market lots of block walking thank you to everyone who volunteered their time this weekend you are so very appreciated then i headed to leander veterans of foreign wars post 10427 and its auxiliary for the 14th annual cpl chad eric oligschlaeger foundation for p t s d event there were some wonderful organizations out there supporting our veteran s and first responders such as o p veteran the harth foundation and heros below it was wonderful connecting with everyone then i headed over to a bad moms of leander tx event thank you to those who came out it was wonderful getting to know you all can t wait to connect again afterwards i headed to smooth village and pacific flame island grill for dinner and the twisted pineapple slam it is hawaiian shoyu chicken and pineapple grilled over lava rocks on a hawaiian bun with a side of delicious mac salad highly recommend sunday was more block walking filming a video and placing signs up for early voting early voting wiliiamson county monday april 25 thru saturday april 30 8 00am to 6 00pm no sunday voting monday may 2 and tuesday may 3 7 00am to 7 00pm leander public library annex 1011 s bagdad rd early voting travis county monday april 25 thru saturday april 30 8 00am to 6 00pm no sunday voting monday may 2 and tuesday may 3 7 00am to 7 00pm christ episcopal church located at 3520 w whitestone blvd cedar park for more election information check out the city of leander voter information guide leanderstrong,Annette Sponseller for City Council Campaign,facebook,"foreign,chad",foreign policy,
236,send nate to austin to fight for families and children defend the innocent unborn secure our southern border stand for liberty,Nate Schatzline for Texas,facebook,"border,unborn","immigration,social and cultural",
237,attention texas residents governor abbott has recently supported new health insurance programs designed specifically to help texans under 65 to qualify must not be on medicaid income levels must be as followed household of 1 12 880 19 320 household of 2 17 420 26 130 household of 3 21 960 32 940 household of 4 26 500 39 750 household of 5 31 040 46 560 household of 6 35 580 53 370 household of 7 40 120 60 180 household of 8 44 660 66 990 benefits include 0 premium health insurance 0 dr office visit copay 0 deductible 0 prescriptions click below to get all of your benefits,The Burial Solution,facebook,"deductible,health,health insurance","health,social programs",
