,text,advertiser_name,platform
86,in case you ve missed this the dangers of food elitism by jaclyn krymowski for protect the harvest access to adequate food is an extremely important topic all people deserve to have access to safe and nutritious foods in today s society there are numerous questions to ask about food food security and the recent focus on elite foods are various food focused social justice initiatives really pushing towards the goal of safe nutritious foods or are they working to redefine what safe and nutritious means do the groups who are trying to make safe and nutritious simultaneous with buzzwords like organic plant based and all natural know what impact their actions have on food equity food bullying is a reality and it starts with food marketers and their counterparts animal and environmental extremists in her book food bullying author michele payn points out that people may find themselves selecting certain food products or labels because of how it will make them feel increase their status or earn praise from peers the choices they make aren t necessarily derived from nutrition or safety but from an elitist mindset we support all forms of agriculture we do not support misinforming the public there is nothing wrong with providing high quality products to the elite buyer we support organic farming and conventional farming we also support different types of animal production systems what we do not support and believe is morally wrong is the practice of misinforming the public about our food system and the nutritional value of the foods they can afford to provide their families why are we making the statement that these groups are partners in crime many of these elite food marketing groups and companies tap into the false narrative established by animal and environmental extremist groups to push their own products elitist marketers and their counterparts animal and environmental extremist groups have purposely overlooked and ignored the reality that our modern food systems provide safe nutritious humane and most importantly affordable food through their marketing they repeat the negative disinformation about modern agriculture propagated by animal and environmental extremist groups keep in mind that animal extremists want to end all animal agriculture and view animal ownership as akin to slavery and abuse environmental extremist groups view humankind as a global parasite and they have been pushing this narrative for years this provides a convenient already established narrative that elite food companies and marketers tap into animal and environmental extremist groups are in a sense saving elite food marketers money since they have already worked to establish a false narrative in which they can use it as a platform to sell their food products they use the false narrative designed and marketed by extremist groups to enforce the false notion that vegan and other elite foods are the epitome of good health what is worse is that marketers for elite foods frown upon families who choose products they deem are over processed or unhealthy not only are these accusations unfounded but those same families simply don t have the money to spend on expensive alternatives without affordable animal protein products like eggs dairy beef pork and poultry they d have no other choice but to go hungry veganism is elitist and unhealthy one of the dangers of the vegan animal extremist ideology is their insistence that their proposed diet is suitable for everyone and entirely natural they ignore the facts and put the health of people at risk in favor of their radical ideology animal extremist groups also ignore the stark reality that the animal extremist vegan lifestyle requires some degree of supplementation to meet lacking nutrients found in abundance in animal products like b12 iron and vitamin d to name a few additionally vegan meat and dairy substitute products like fake bacon processed pea patties fake cheese and juices that are supposed to replace milk are significantly more expensive compared to wholesome real meat and dairy products if those manipulated into following the vegan ideology cannot afford those products they are then only able to afford produce and grain staples from a health perspective vegan diets are not recommended for everyone physicians from all over the world have warned against the dangers of vegan diets in children citing multiple instances of malnutrition and average delayed growth patterns in some countries forcing children to eat a vegan diet is considered child abuse and a crime food elitism is not family friendly unfortunately years of plentiful eating have blinded a lot of the elite to the fact that so many under privileged families rely on our affordable and sustainable food system the trend of companies serving the elite and wealthy have taken advantage of this ignorance in their marketing tactics most people cannot afford to shop at high end grocery stores like whole foods trader joe s and types of farmers markets on average their groceries are about 20 more expensive compared to traditional stores reflecting a privilege of the elite class examples of nefarious marketing tactics which mislead the public nefarious food product marketing tactics take many forms many marketing firms and elite food companies use scare tactics to sell their products using false or exaggerated disinformation their messaging heavily implies that other foods are nutritionally inferior and unsafe compared to certain products that are produced the right way of course the right way is their way their marketing messaging fully ignores the facts about food safety and the usda s role in ensuring the food items people purchase are safe to consume what these marketing tactics don t tell people is that conventionally raised meat eggs and dairy fall under the safest food inspections and regulations in the world likewise they have a very similar nutritional profile to food items which are marketed as pastured raised or organic these scare tactics can be especially harmful to low income and underprivileged families who are led to believe that they are not and cannot feed their families properly cooks venture is an example of elitist marketing and pricing they are a food delivery service focused on pasture raised beef and chicken they have plans to expand their lineup soon a 9 to 10 pound box of their assorted beef and chicken cuts goes for 149 99 by comparison the average cost per pound of a conventional whole chicken is just 1 70 and beef 4 73 good food is vital for health and happiness says their website heavily implying that their meats are good compared to other conventionally raised products the site continues despite the pastoral images and marketing claims almost all meat today comes from mainstream operations that are labeled with greenwashed buzzwords finding food that is good for both us and the planet doesn t have to be this hard while marketing language this tone is harmful as it reinforces a misconception that is already so rampant among consumers that products derived from conventional animal agriculture are inferior to niche products sporting labels like grass fed pasture raised organic or all natural keep in mind that the definitions for some of these are not even officially defined a company with a similar marketing approach is butcherbox which says it was started with the idea that everyone should have access to high quality humanely raised meat but is their 149 month delivered box if 9 to 14 pounds of meat really accessible to everyone we only work with companies and farmers that are dedicated to doing the right thing continues the website never cutting corners this is yet another example of a company which is painting conventional modern animal agriculture as the enemy the goal is to shame the elite into purchasing their products and it fully ignores those who cannot afford the high end products they are pushing food insecurity is the real issue despite being one of the wealthiest nations in the world americans still fall into the food insecure category making up about 10 5 of households in 2019 according to data from the department of agriculture in poorer countries that number is much higher with some having notable portions of their populations being chronically malnourished a pivotal solution to all of this starts of course at the farm level however the disconnect between large farms modernization and food equity is unfortunately ongoing a global washington article cites increasing farm efficiency productivity as being necessary to help alleviate the rising cost of food products this includes a comprehensive approach that includes access to heartier seeds more effective tools improved farm management practices locally relevant knowledge and reliable markets university researchers and livestock veterinarians have dedicated decades to refining modern farming practices to provide humane sustainable wholesome and affordable foods large farms especially those in first world countries have embraced the research available to them and implemented modern practices unfortunately the global washington article leaves out the vital role of research and modern farming practices instead it cites small farms without defining what that term means as being part of the solution diane sullivan fights for food security in her testimony before the u s house subcommittee on economic and consumer policy on february 6 2020 food security activist diane sullivan shared her insight into the real world implications of food elitism as a mother who has experienced hunger and homelessness too often food policy debate in this country exclusively takes place among those in power elected officials scholars researchers both for profit and non profit special interest groups and more she shared rarely are those of us with lived experience in hunger invited to the table when the policies that directly impact our lives are discussed designed and implemented this is increasingly the case as retailers policymakers state ballot initiatives and more press to regulate farmers in such a way that eliminates affordable safe and nutritious food choices and drives up the cost of our food sullivan also commented on the significant role that hardworking farmers and ranchers play in the conventional food system to make food equitable to struggling households my experience has taught me that productive farmers and ranchers in this country are perhaps among the best friends low income people could have she stated they provide us the broadest choices of safe and affordable food options in the world so long as they are permitted to do so as low income consumers we remain stuck in the middle of policies that increase the cost of our food in 2016 sullivan was the campaign manager for a ballot committee that opposed a ban on sales of meat and eggs from animals raised in large modern farms mass question 3 which is the vast majority of affordable and conventionally raised animal products on so many occasions i ve been in a position where i haven t been able to feed my children an appropriate meal sullivan shared in an interview for a local publication when my snap benefits have run out my paycheck is still a couple of days away i ve been able to go to the grocery store gather up a dollar in change purchase a dozen eggs and feed my children at least a source of protein she added my passion is driving me i know what hunger looks and feels like who s going to take on an organization like the humane society of the united states to defend poor people poor people are too often voiceless the farm systems reform act will drive up the price of affordable food in addition to recent attacks on affordable food and modern agriculture like mass question 3 and california s prop 2 and prop 12 there are animal extremist influenced politicians continuing to push their ideology while ignoring the impact on american families considering the average spending of an american family on their monthly grocery bill and that many are still going hungry the disruption of the conventional food system particularly animal derived proteins would be catastrophic the farm systems reform act is one of the latest legislative efforts being pushed by vegan extremist senator cory booker this piece of legislation will harm families in the name of food elitism and vegan ideology and it is being done on the national level animal extremist driven state ballot initiatives will drive up the price of affordable food in addition to federal legislation the animal extremist driven state ballot initiatives in colorado and oregon are other new targeted attacks on animal agriculture by animal rights vegan extremists they are pushing to eliminate animal protein products from the diets of citizens in those states under a false animal welfare pretense these initiatives would cripple the states animal industries and force an unhealthy diet on growing families by making affordable and nutritious animal protein products prohibitively expensive a balanced food system each year hundreds of millions of people go hungry around the globe and even for those with access to food many are still deficient in essential vitamins and nutrients in the u s alone it is estimated over 92 of the population suffers from at least one vitamin or mineral deficiency at least 10 have a broader type of nutritional deficiency many of the most common deficiencies found throughout the world can be easily addressed by consuming animal protein products iron deficiency for example affects over 25 of the world a single three ounce serving of ground beef one of the most affordable beef products covers almost 30 of the recommended daily value for iron because vitamin b12 absorption decreases with age many older adults an estimated 20 of them are deficient in this vitamin meat milk and eggs are all abundant accessible sources these are just a few brief examples of vitamins that are essential and found easily in animal products modern agriculture provides affordable nutritious and sustainable food modern agriculture including livestock production makes food affordable is more sustainable helps to control food byproduct waste and decreases food disparity among households americans today only spend less than 10 of their income on food for poorer nations and low income american households that percentage is easily 40 in some cases much more than that modern state of the art practices in american agriculture have been developed to feed citizens efficiently and affordably everything in our food system from research to farming practices to subsidies all reflect this mindset not only are nutritious foods plentiful and accessible but they also empower consumers with freedom of choice the pursuit of an equitable food system should be about offering more not less choices to consumers to meet their dietary needs restricting them with only expensive alternatives is food elitism that leaves so many vulnerable families to struggle with life s most basic necessities for links to sources and more information visit this article on our website,Karen Elizabeth Glueck,facebook
87,our 2022 race could be katie s most competitive yet we look to past elections to determine how competitive future ones will be and here in california s 47th the most recent election was the september recall of democratic governor gavin newsom while newsom won with a strong majority of the vote in california as a whole he won by a much smaller margin here in orange county 𝑰𝒏 𝒐𝒖𝒓 𝒅𝒊𝒔𝒕𝒓𝒊𝒄𝒕 𝒉𝒆 𝒘𝒐𝒏 𝒃𝒚 𝒋𝒖𝒔𝒕 𝒂 𝒔𝒊𝒏𝒈𝒍𝒆 𝒑𝒐𝒊𝒏𝒕 that tells us that this race is a real toss up while california as a state may be blue our district includes deep red strongholds and because of redistricting nearly 70 of the voters here are brand new to katie we ll have to put serious resources into introducing these voters to katie and telling them what she s fighting for if you can consider making a contribution to our campaign we re gearing up for a tough race and money given now will help us reach voters early on,Katie Porter For Congress ,facebook
88,investinourplanet and take meaningful action against climate change on this earthday according to our second annual nextgen climate survey climate change is taking a toll on youth mental health and taking action can help minimize stress making lifestyle changes lobbying for more sustainable practices and petitioning public representatives to pass climate policy are some of the most powerful actions that we can take get more tips at weneverstop climatechange earthday2022 earthdayeveryday,BLUE SHIELD OF CALIFORNIA LIFE & HEALTH INSURANCE CO.,facebook
89,for earthday hellscape no 17 by artist petra_cortright has been installed at the cantor arts center cantorarts and the hammer_museum as part of acoolmillioncampaign a public arts initiative for climate awareness led by artists and institutions to expand environmental justice programming and support the conservation of one million acres of land i would like to thank a cool million for the opportunity to help protect the beauty which is california my place of birth says cortright where the landscape means everything to me i hope the piece can provide a sense of urgency as well as a sense of hope curated by mickimeng and haleymellin a cool million is a partnership between forfreedoms artandclimateaction artintoacres and 14 arts institutions across california to install climate related artworks on billboards museum facades and public spaces learn more at acoolmillion org photos by kurt hickman forfreedoms artandclimateaction hammer_museum petra_cortright mickimeng haleymellin acoolmillioncampaign earthday participating institutions thebroadmuseum bampfa cantorarts deyoungmuseum gettymuseum hammer_museum icasanfrancisco lacma moadsf moca calartsredcat sanjosemuseumofart sfmoma wattisarts,,facebook
90,time for change at hcisd after years of heavy taxation for pet projects and taking thousands in campaign donations from linebarger the board renews the district delinquent tax collection contract at the highest collection rate allowed by state law,Robert Allen Leftwich,facebook
91,we are excited to share photos of our recent convention let s start with congratulating william bill j dobert for being recognized by assemblymember cecilia aguiar curry for his over 25 years of distinguished service thank you for your leadership,Resource Recovery Coalition of California,facebook
92,𝐖𝐄 𝐂𝐀𝐍 𝐓 𝐀𝐋𝐋𝐎𝐖 𝐓𝐇𝐄 𝐒𝐄𝐂𝐎𝐍𝐃 𝐋𝐀𝐑𝐆𝐄𝐒𝐓 𝐂𝐈𝐓𝐘 𝐈𝐍 𝐓𝐇𝐄 𝐔 𝐒 𝐒𝐄𝐓 𝐀 𝐏𝐑𝐄𝐂𝐄𝐃𝐄𝐍𝐓 𝐅𝐎𝐑 𝐎𝐓𝐇𝐄𝐑 𝐂𝐈𝐓𝐈𝐄𝐒 𝐓𝐎 𝐅𝐎𝐋𝐋𝐎𝐖 𝐏𝐥𝐞𝐚𝐬𝐞 𝐡𝐞𝐥𝐩 𝐭𝐡𝐞 𝐖𝐞𝐬𝐭𝐞𝐫𝐧 𝐒𝐩𝐨𝐫𝐭𝐬 𝐈𝐧𝐝𝐮𝐬𝐭𝐫𝐲 𝐂𝐨𝐚𝐥𝐢𝐭𝐢𝐨𝐧 𝐬𝐚𝐯𝐞 𝐑𝐨𝐝𝐞𝐨 𝐁𝐮𝐥𝐥 𝐑𝐢𝐝𝐢𝐧𝐠 𝐚𝐧𝐝 𝐬𝐢𝐦𝐢𝐥𝐚𝐫 𝐞𝐯𝐞𝐧𝐭𝐬 𝐢𝐧 𝐭𝐡𝐞 𝐜𝐢𝐭𝐲 𝐨𝐟 𝐋𝐨𝐬 𝐀𝐧𝐠𝐞𝐥𝐞𝐬 𝐂𝐨𝐦𝐦𝐞𝐧𝐭 𝐨𝐧 𝐭𝐡𝐞 𝐨𝐧 𝐭𝐡𝐞 𝐋 𝐀 𝐂𝐢𝐭𝐲 𝐂𝐨𝐮𝐧𝐜𝐢𝐥 𝐏𝐚𝐠𝐞 𝐒𝐢𝐠𝐧 𝐓𝐡𝐞 𝐏𝐞𝐭𝐢𝐭𝐢𝐨𝐧,Western Justice Legislative Fund,facebook
93,dave jones has written landmark laws to build affordable housing combat climate change and expand preschool for working families,Dave Jones for State Senate 2022,facebook
94,dave jones is the only candidate endorsed by the democratic party because he is a true champion for people who need a voice and a fighter for californians who need his help california democratic party chair rusty hicks,Dave Jones for State Senate 2022,facebook
95,in the state senate dave will fight to build affordable housing reduce homelessness and deliver results for working families,Dave Jones for State Senate 2022,facebook
96,dave jones has a 20 year record of fighting for californians standing up to powerful special interests and delivering results,Dave Jones for State Senate 2022,facebook
97,dave jones is supported by the sierra club and democratic party big oil is spending big to attack dave stand up fight back vote,Dave Jones for State Senate 2022,facebook
98,big oil companies are spending hundreds of thousands on attack ads because dave jones fights for people not corporations,Dave Jones for State Senate 2022,facebook
99,we ask everyone who cares to join the help of volunteers and residents of ukraine thanks to you here in ukraine we will be able to provide everything necessary for those who need help from young children and migrants to the territorial defense of cities thanks to everyone who responds usa charity helpukraine usa charityevent help newyork hollywood losangeles california washington donate chicago saveukraine america saveukraine american humanity hollywoodstudios vip celebrity celebrities stopwar stopwarinukraine stoprussia stoprussianaggression stopputin,,facebook
100,thank you so much for holding a fundraiser for us folsom area democratic club i appreciate your support of our grassroots campaign from the beginning we can win this race,Braden Murphy for State Board of Equalization 2022  ,facebook
102,director rizvi has received an outpouring of support with over fifty key endorsements from notable federal state and local elected officials throughout california corona ca western municipal water district division 5 representative small business owner nonprofit leader and longtime community leader fauzia rizvi has announced her campaign to run for the newly drawn assembly district 63 this district includes the communities of lake elsinore menifee norco canyon lake and parts of eastvale riverside perris and corona at the beginning of the pandemic i was inspired to step up to coordinate and lead over 100 food drives as well as mask distributions to senior veterans and families in need throughout the inland empire stated rizvi this inspired me to run for my local water board to serve families like mine which i have successfully done since the community elected me i look forward to bringing more resources to our region such as investing in our local infrastructure rebuilding our local economy through workforce development enhancing veterans services and addressing the housing crisis to read full press release visit www fauziarizviforassembly com,Fauzia Rizvi for Assembly 2022,facebook
105,the american muslim and multifaith women s empowerment council was proud to host an iftar at the islamic center of santaana california we celebrated with each other and broke our fasts together we helped serve iftar to an underserved area of california because we know that ramadan is a time of unity and love we were so happy that we could facilitate this event and bring the muslim community of santa ana together thank you to the ammwec women of california who helped organize this special event take a look at these amazing photos jummah ammwec ramadan ramadankareem ramadanmubarak2022 ramadanmubarak fasting faith islam orangecounty losangeles la ca california iftar,AMERICAN MUSLIM AND MULTIFAITH WOMEN'S EMPOWERMENT COUNCIL,facebook
106,nearly 2000 people participated in a lobby day against ab 2223 organized by capitol resource institute cri real impact ri calvary chapel chino hills and california family council cfc on april 19 2022 after receiving training from cri president karen england and greg burt from cfc throngs of people headed to legislative offices to express opposition to ab 2223 a bill decriminalizing infanticide then at 11 am thousands gathered at a press conference on the capitol steps led by ri director gina gleason and cfc president jonathan keller speakers included pastor jack hibbs calvary chapel chino hills and founder of real impact pastor greg farrington destiny christian church rocklin pastor jim franklin cornerstone fresno kevin mcgary every black life matters pastor marc little cure america action theresa brennan the right to life league yesterday was only the beginning we hope to have even bigger crowds join us for future hearings against ab 2223 and for the california march for life on june 22 register here,CALIFORNIA FAMILY COUNCIL,facebook
107,the democratic party opposes the recall who supports it the republican party, Friends of Chesa Boudin Opposing the Recall,facebook
108,congratulations to our nhs scholarship finalists 𝗡𝗮𝗺𝗲 ethan sandoval 𝗦𝗰𝗵𝗼𝗼𝗹 la salle high school pasadena california 𝗔𝗰𝗵𝗶𝗲𝘃𝗲𝗺𝗲𝗻𝘁𝘀 after a t cell acute lymphoblastic leukemia diagnosis and four years of life saving treatment ethan raised money through kay club for a cause that resonated with him the pediatric trauma program he was also named a the leukemia lymphoma society advocacy student of year,NATIONAL ASSOCIATION OF SECONDARY SCHOOL PRINCIPALS,facebook
109,i am running for u s congress in ca 09 because we need a representative who will fight for working class families in san joaquin county i grew up in stockton i went to school at tokay high and delta college before getting a degree in neurobiology from uc davis i am the son of two sikh immigrant parents who started their own small business and achieved the american dream i want to make sure future generations can do the same i organized coalitions for the green new deal cheaper student housing and demilitarizing our police i organized for a mobile crisis intervention program in stockton that will respond to non violent emergencies instead of armed police officers as an elected officer in my local union i raised relief funds for our undocumented neighbors during the pandemic corporations that continue to abuse workers and rip off customers already have plenty of politicians in washington d c but i am not your boss s politician i forged my politics through union and grassroots organizing fighting to give a voice to everyday folks i am running because it is time families in san joaquin county had a champion in congress who will bring them to the table take their fights to the halls of congress i am running for the many not the few,CHIMA FOR CONGRESS,facebook
110,thank you to shak khan for inviting us to the 4th annual eid bazaar and to the american pakistani association of san joaquin county for hosting the event it was great to connect with the community and small business owners from all over northern california let s fight to eliminate tuition and fees at four year public colleges and universities that ll end some of the disadvantages immigrant families face when trying to navigate the college and student loan process for the first time and let s fight to protect our families and small businesses from high energy prices and from unfair practices by monopolistic corporations,CHIMA FOR CONGRESS,facebook
111,surveys have found that less than 5 of marijuana businesses today are owned by black americans even in states with social equity programs like california that s because starting any business requires money upfront to pay for security consultants equipment and rent while dealing with investors and incubators doing their best to fleece applicants that means these businesses are started by people who already have access to the necessary resources if we are serious about helping poor and working class americans we must do the much harder task of taking on our economic elites and making sure they aren t the only ones to benefit from legalization that s why i support nationalizing the marijuana industry legal sales of marijuana are expected to exceed 43 billion by the end of 2025 that is with weed being illegal in many states even in states where it is legal illicit sales still make up a significant part of all sales a nationalized industry would bring in billions in revenue to pay for much needed social services services that would actually lift millions of americans out of poverty and deliver real material benefits to people s lives we can prioritize jobs in the industry to go to nonviolent drug offenders we could contract growing cooperatives that are worker run and worker owned we can make sure a substance that was used to terrorize and ruin the lives of so many of our sisters and brothers will now be used to better their lives instead if we don t we risk marijuana just being used by the rich to get even richer,CHIMA FOR CONGRESS,facebook
113,i am proud to stand in solidarity sutterhealth rns and health care workers who have been in negotiations since june 2021 for a new contract with little to no movement on key issues we are urging management to invest in nursing staff and agree to a contract that provides safe staffing that allows nurses to provide safe and therapeutic care and pandemic readiness protections that require the hospitals to invest in personal protective equipment stockpiles and comply with california s ppe stockpile law rnstrike sutterhealth,Liz Ortega for Assembly,facebook
114,the far left regime in california has to go as your state assemblywoman i will fight to immediately repeal the gas tax stop the radical agenda to defund our police keep crt out of our schools empower our parents and strengthen security at the border,Kimberly Ho for Assembly 2022,facebook
115,s2a modular is hosting a webinar on thursday april 28th for investors in your area to learn about smart home construction integrated with renewable energy modular technology the webinar will break down the differences between the traditional stick built method of construction versus the modular method you ll learn the advantages and disadvantages of the modular process along with how we re integrating renewable energy smart home components to create net zero nzeb properties the heart of the concept is the inclusion of a residential storage battery such as the tesla powerwall for example and revolutionary solar panel systems while adding high energy efficient windows doors insulation heating etc to maximize the battery s use who is this webinar for 1 the buyer who is looking to build a new home and would like to get the process done 30 40 faster at a cost savings of 10 20 of the original stick built method while building a stronger product 2 the consumer who is interested in sustainability renewable energy smart home technology energy efficient home components integrated with green living 3 the developer that wants to build a community or subdivision of hundreds of homes and or the developer that wants to build apartment or hotel doors quicker stronger and for less money 4 the accredited investor that would like to be involved at the start of something that could quickly grow and potentially disrupt an industry 5 the strategic investor who wants to partner with a company not only to get a strong roi on their investment but to have priority on the assembly line and a discount from normal mark up 6 the construction professional the architect the salesperson the civil engineer the supplier of building materials and anyone else that may want to learn more about modular construction and smart home technology and how to partner with s2a modular organizer brian kuzdas started his real estate career in 1985 as a commercial real estate agent in chicago illinois after representing buyers and sellers for 12 years brian bought his first apartment building in 1997 with the intention to convert it into condominiums after the success of that first apartment conversion over the next ten years 1998 2007 brian bought 4 000 apartments and converted all of them to condos when the recession hit in 2007 brian shifted to helping banks auction their foreclosed inventory reos by 2010 brian bought realestateauctions rea and expanded the company to fourteen states while moving the corporate office to palo alto ca in 2012 in 2017 brian opened an acquisition division to develop 10 000 modular renewable energy smart homes that run off of a storage battery creating net zero nzeb in california and throughout the entire world he will be joined by dean delisle chief revenue officer of s2a modular dean has been marketing home building mortgage and the real estate industry for over 30 years,,facebook
116,ai là ưcv có khả năng nhất để tranh đấu cho quyền lợi qúi vị kimberly hồ kimberly ho sẽ tranh đấu cho tiền học và chống kỳ thị con em chúng ta chống lại thuế xăng tranh đấu cho các vị cao niên về sức khoẻ chổ ở và tiền già tạo nhiều chương trình để hổ trợ cho các tiểu thương,Kimberly Ho for Assembly 2022,facebook
117,here are the top 10 questions our staff has received regarding the ocpa 1 what is the orange county power authority ocpa the ocpa established in 2020 is an independent locally governed not for profit community choice energy provider of electricity for all residential and commercial customers in irvine fullerton huntington beach buena park and the unincorporated areas of orange county 2 is it true that irvine taxpayer money is funding the ocpa yes the former city council entered into an agreement for the city of irvine to fund the ocpa through 2022 so far 7 7 million of irvine taxpayer money has been advanced to the ocpa 3 where has the 7 7 million of irvine taxpayer money gone we don t know the ocpa has not provided the city of irvine with any detailed financial information regarding purchasing agreements or the hiring of staff consultants and lawyers according to the agency s website the power authority s projected loss for 2022 will be 23 million and 17 million the following year 2023 4 am i being enrolled in the ocpa without my expressed permission yes the city of irvine has joined the ocpa as a result all businesses operating in the city of irvine are being transferred this month from their current provider of electricity southern california edison sce and enrolled in the new ocpa plan later this year in october all irvine residential customers will be transferred from sce to ocpa 5 will we pay less for electricity under the ocpa plan no the business and residential plans selected by the city of irvine are more expensive than sce residential customers will pay as much as 6 more for electricity than they currently pay to sce commercial customers will also pay more unless they opt down to the 38 renewable rate which will cost the same as sce 6 will we get electricity derived from 100 renewable sources no the electricity you receive from ocpa will remain the same to every household and business it will be provided to your home through sce transmission lines however the expectation is that the money you pay into ocpa will be used to purchase cleaner energy down the road 7 has ocpa followed through on its promise to create local sustainable programs no not yet although the power agency s website states that local sustainable programs will be created our staff has been unable to find any such programs that have been established in the first two years of the agency s existence 8 can i stay with sce yes businesses can opt out within five days of being transferred out of sce and enrolled in ocpa by calling 1 866 262 7693 once residents receive their enrollment notice which is expected to be mailed out sometime in august they will be able to call the same phone number to opt out of ocpa and remain with sce 9 is ocpa installing their own electric power lines no sce will continue to maintain the grid repair power lines and provide irvine customers one consolidated utility bill that includes ocpa electric generation charges and sce electric delivery charges 10 what happens if the ocpa fails if the ocpa fails commercial and residential customers will be transferred back to sce as far as the 7 7 million of irvine taxpayer money that has been advanced to the ocpa so far at the november 9 2021 council meeting the irvine city attorney said the city will not get repaid,Irvine Community News & Views,facebook
118,although city council elections here in irvine are nonpartisan by law mayor farrah khan runs her campaigns as a partisan democrat however it appears that khan is facing increasing opposition from local democrats in fact just last month the local democratic club in irvine overwhelmingly voted not to provide an early endorsement for her november mayoral re election campaign khan received less than 25 support from democratic club members in irvine before the vote was taken irvine democratic activists who had campaigned donated and voted for khan in 2020 rattled off a number of instances where the mayor had defied the democratic party s core values including 1 as mayor khan has instituted the rule of two which directly contradicts a resolution passed by the democratic party of orange county mandating that elected democrats provide a second to any agenda item submitted by a fellow democrat 2 khan blocked council discussion on district elections even though district elections are part of the california democratic party s platform 3 the mayor attempted to dismantle the city s transparency focused sunshine ordinance by limiting public notification of council agendas and moving public comments at council meetings to the very end when the council chamber is basically empty after public outcry khan was forced to move public comments to the beginning of meetings 4 in 2020 khan promised veterans and their families that she would honor the citizens initiative signed by nearly 20 000 irvine residents to move forward with the veterans memorial park cemetery on the arda site at the great park however once elected khan banished the voter approved veterans cemetery from irvine altogether she even went out of her way to reject popular plans to start building a veterans memorial park something that should make every democrat cringe is the fact that khan appointed a notorious armenian genocide denier to her mayor s advisory council and she was caught on video telling members of the turkish community that she stood with them no matter what and then went on to participate in a joke about making armenians disappear when the video became public a few weeks ago khan issued a defiant statement saying the video had been doctored by campaign rivals after multiple sources confirmed the authenticity of the video khan was forced to issue an apology during the april 12th city council meeting dozens from within the armenian community provided public comments many spoke passionately about losing relatives in the armenian genocide which took place during world war i when 1 5 million armenians were killed by the turkish government one speaker referenced his disgust with the democratic party s support of khan after the irvine democratic club had voted not to endorse the mayor democratic party bosses in anaheim rushed through an early endorsement of khan months before the official candidate filing period opens clearly these democratic party bosses sense that mayor khan is in serious political trouble here in irvine a city that prides itself on being one of the most diverse thoroughly integrated communities in america on april 14th the southern california armenian democrats released a statement on facebook saying that khan has still not met with armenian community leaders and calling on democratic elected officials to rescind their endorsement of the mayor i can t help but wonder if the democratic party and the democratic elected officials who have publicly endorsed mayor khan would continue to support her if she had been filmed joking with and appointing to her inner circle of advisors a holocaust denier or an individual who regularly bashes the lgbtq community several political consultants speaking on condition of anonymity have referred to khan as increasingly toxic according to one longtime democratic party consultant active in many los angeles and orange county campaigns khan has become radioactive orange county democrats who hold state or federal office are going to be rethinking their endorsements of khan for fear that their association with her will hurt every democratic candidate on the ballot in november,Irvine Community News & Views,facebook
119,for the past six years live good team members have volunteered in serving thanksgiving dinner to the homeless in los angeles and pasadena through ushs this year live good wants to raise awareness of this pressing issue and build bridges across southern california to find strategic solutions the live good charity auction in partnership with ushs is dedicated to raising funds to serve and empower the homeless population in los angeles and orange county the event will encourage the involvement of political leaders local businesses university of california irvine students and live good team members for organization and resources all proceeds will go to the nonprofit organization union station homeless services please join us for a celebration of love and unity at www livegoodinc com,,facebook
120,zoom registration at candidate forum is being organized by the following organizations sacramento act aclu foundation of northern california cair sacramento valley central california justice 2 jobs sacramento live free norcal resist and public health advocates register to vote or check your voter registration status at we encourage submitting your questions in advance please note this is a nonpartisan forum and we will not ask questions that suggest bias or is directed only at one candidate,Allen Asch,facebook
121,great sharing some time and thoughts with our amazing cagop chairwoman during the cagop convention congressional district 35 will be the leading edge for takebackthehouse thank you chairwoman for your leadership,Dr Rafael Carcarmo,facebook
122,pwn endorses jon wizard for ca assembly district 30 there are less than 3 weeks to go before primary ballots are received and voting begins this is our chance to have local representation in the ca assembly from water to housing to health care jon is so well qualified for this job he understands our issues deeply but he needs more exposure to make a strong finish the top two contenders will go to a run off in november the republican vicki nordeen will be one of the top two with about 30 of the vote and that leaves 4 democrats jon wizard dawn addis and two others splitting the rest of the vote which ever democrat wins in the primary is pretty much guaranteed to win in november so this is it the next three weeks are critical jon needs our help right now to make sure he finishes in the top two please donate or volunteer here melodie chrislock pwn director,Public Water Now,facebook
123,the window to submit california grown cannabis flower for the 2022 california state fair castatefair cannabis awards calcannaawards closes on april 30 this is the first ever state sanctioned cannabis competition award winners will be announced in june 2022 the california state fair is held at cal expo in sacramento california in july of each year the 17 day event attracts over 750 000 attendees annually and showcases california s agriculture culture and diversity the cannabis competition will include three divisions indoor mixed light and outdoor entries will be evaluated and ranked based on the abundance of terpenes and cannabinoids and the ratio of cannabinoid to terpene content entrants will submit their samples to sc labs _sclabs which will test for cannabinoid and terpene concentration silver gold will be awarded in each category per division and there will also be specialty awards calcannaawards californiacannabis californiastatefair cannabis cannabislicensing cannabisindustry cannabisbusiness cannabisnews cannabiscommunity cannabislaw marijuana,Law Offices of Jennifer McGrath,facebook
125,en un mensaje desde casa jalisco en chicago el gobernador de jalisco enrique alfaro ramírez junto al presidente de naima sergio suárez informan de méxico en el corazón 2022 la iniciativa cultural que llevará lo mejor de la música y folclor de méxico a miles de mexicanos en los estados unidos en sus dos giras,Sergio D Suarez,facebook
126,no one likes to be stressed that includes the power grid smart water heaters could help destress the power grid and by extension you,Resource Media,facebook
127,this is huge elon musk just shocked the world and quite possibly changed it in a whole new way again watch trishreganshow s3 e59,TARM HOLDINGS LLC,facebook
