,text,advertiser_name,platform,words,m_label
134,i m will rollins a former counter terrorism prosecutor and democrat running to unseat far right republican ken calvert there are 3 things you should know about my opponent ken calvert 1 he attempted to overturn the 2020 election results 2 donald trump has formally given calvert his complete and total endorsement 3 redistricting made him one of the most vulnerable republicans in congress it s time to hold calvert accountable can you chip in 5 35 or even 100 to help flip ca 41 from red to blue and send ken calvert packing,WILL ROLLINS FOR CONGRESS,facebook,"counter terrorism,chip in","donation,foreign policy"
135,on this episode of bpc weekly representative scott peters of california s 52nd district stops by to discuss his efforts to limit methane leaks in natural gas production and makes the national security case for transitioning to renewable energy,"BIPARTISAN POLICY CENTER, INC.",facebook,"renewable energy,natural gas,methane,renewable",environment
136,attention renters who want to own get an extra 308 month to put towards a home thanks to this little known relief program helping people save money,,facebook,save money,economic
137,parks and recreation actor endorses local thousand oaks resident anthony angelini for position on conejo rec and park board voteangelini anthonyangelini com,ANGELINI FOR CONEJO RECREATION AND PARK DISTRICT BOARD OF DIRECTORS 2022,facebook,no words,no topic
138,katie porter here i m facing what could be my toughest race since first being elected2018 since redistricting the new 47th district in california is made up of a near equal number of registered democrats and republicans making it one of the most important swing districts in the country and two thirds of these voters are brand new to me 𝐈𝐭 𝐬 𝐭𝐢𝐦𝐞 𝐭𝐨 𝐫𝐚𝐦𝐩 𝐮𝐩 𝐨𝐮𝐫 𝐯𝐨𝐭𝐞𝐫 𝐨𝐮𝐭𝐫𝐞𝐚𝐜𝐡 𝐞𝐟𝐟𝐨𝐫𝐭𝐬 𝐚𝐧𝐝 𝐈 𝐧𝐞𝐞𝐝 𝐲𝐨𝐮𝐫 𝐡𝐞𝐥𝐩 𝐭𝐨 𝐝𝐨 𝐢𝐭 we re relying on our grassroots donors to help fuel our work to reach these swing voters because winning this race is crucial democrats hold the house majority by just a few seats the slimmest majority either party has had in twenty years 𝐈𝐟 𝐲𝐨𝐮 𝐜𝐚𝐧 𝐜𝐡𝐢𝐩 𝐢𝐧 𝐣𝐮𝐬𝐭 𝟓 𝐭𝐨𝐝𝐚𝐲 𝐰𝐞 𝐥𝐥 𝐛𝐞 𝐚𝐛𝐥𝐞 𝐭𝐨 𝐫𝐞𝐚𝐜𝐡 𝟑𝟎 𝐧𝐞𝐰 𝐯𝐨𝐭𝐞𝐫𝐬 𝐰𝐢𝐭𝐡 𝐨𝐮𝐫 𝐦𝐞𝐬𝐬𝐚𝐠𝐞 can you donate today to help us win in november and hold the house majority,Katie Porter For Congress ,facebook,"fuel,donate","donation,environment"
139,every year 4 5 trillion cigarette butts are dumped in the environment every year polluting our planet and contributing to the killing of marine life and they re not made of harmless paper or cotton they re made of a microplastic cellulose acetate that never completely decomposes learn more about plastic cigarette butts,,facebook,"polluting,environment,our planet",environment
140,to end poverty in california those feeling the pain should have the power to make change join us we re making sure people in poverty are valued listened to and invested in by elected officials,End Poverty in California,facebook,"in poverty,end poverty",social programs
141,people in poverty are stereotyped and blamed instead we need bold new policies that respond to people s needs it s time to tell the real story about poverty in california,End Poverty in California,facebook,"in poverty,about poverty",social programs
142,don t buy into the myths we hear about poverty poverty is a policy choice not a personal choice we re taking bold action so all californians have the opportunities they need to thrive,End Poverty in California,facebook,about poverty,social programs
143,california s coastline is being devastated by this oil spill let s make sure it never happens again call on president biden and governor newsom to stop permitting new oil and gas wells,Stand.earth,facebook,"coastline,oil spill",environment
144,please join us to hear from grace park bradbury who is the west coast general manager for blocpower there is no charge but you must register here blocpower is a climate technology company with the goal of making american cities smarter greener and healthier the company started in 2014 in brooklyn new york and has since retrofitted more than 1 000 buildings in disadvantaged communities in new york city with more projects occurring in several other us cities we will learn about the inspiring story behind donnel baird who is blocpower s ceo and founder why building electrification is essential to mitigating the climate crisis and the important role climate justice plays our speaker will also discuss blocpower s business model their role in the ithaca electrification effort and whether these approaches have been used or could be used in california there will be time for questions from the audience this presentation is being hosted by the north county climate change alliance and the san diego building electrification coalition,North County Climate Change Alliance,facebook,"climate change,climate,business model,greener,climate crisis","economic,environment"
145,thank you california directors for your support i will work hard to make you proud,Ohio REALTORS,facebook,no words,no topic
146,thank you california directors for your endorsement i will work hard to make you proud,Ohio REALTORS,facebook,no words,no topic
147,april is fairhousingmonth swipe right to learn more about what this month represents in the struggle for housing,TIPPING POINT COMMUNITY,facebook,fairhousingmonth,social programs
148,april is fairhousingmonth click through the photos below to learn more about what this month represents in the struggle for housing,TIPPING POINT COMMUNITY,facebook,fairhousingmonth,social programs
149,absolutely absurd after imposing the highest gas and car tax in the nation in the name of fixing roads ca democrats now want to cancel those road fixes because freeways are racist nonsense,Reform California,facebook,"tax,racist","economic,social and cultural"
150,california law requires that compostable materials be kept out of landfills in response to the climate crisis but do you know why sorting your food scraps and other compostable material is beneficial our environmental services division breaks down why this easy step is so important sb1383 earthday2022,,facebook,"climate crisis,climate,law","environment,governance"
151,thank you for your support on first 5 advocacy day society thrives when children thrive it s time for california to ensure our youngest children are healthy safe ready to succeed in school and life learn more at first 5 association of california f5ad wholechildwholefamily,Cornerstone Communications,facebook,school,education
152,candidate forums are intended to provide the public with an opportunity to learn about the candidates and their views on the issues that are important in our community questions for the candidates may be submitted up until two days before the scheduled date of a forum by emailing lwvbutte gmail com due to time constraints and the number of candidates not all questions may be asked questions should be on the issues and applicable to all candidates no personal attacks or biased questions will be accepted for additional information about candidates and ballot measures please go to these forums will be held virtually via zoom recordings will be made available for viewing following each forum on the lwvbc website the link below is for watching the candidate forum live apr 28 2022 at 07 00pm county assessor candidate forum webinar id 828 6381 6960 for more information contact lwvbc at 530 895 8683 or by email at lwvbutte gmail com or go to the league website at,Jane Frances Heinen Wanderer,facebook,no words,no topic
153,the golden state just hit an energy milestone,Resource Media,facebook,an energy,environment
154,states like california and washington are looking to reduce air pollution and are embracing electric vehicles,Resource Media,facebook,"electric vehicles,pollution",environment
155,thank you to the california republican assembly cra for their overwhelming endorsement for ventura county supervisor district 2 district 2 includes westlake village newbury park oak park thousand oaks somis santa rosa valley lake sherwood hidden valley las posas eastern camarillo the cra selects the candidate that best demonstrates the qualifications of a conservative republican including low taxes small government school choice term limits sanctity of life right to bear arms and more californiarepublicanassembly,McCarthy for Supervisor 2022,facebook,"school,sanctity of life,school choice,taxes,bear arms","economic,education,safety,social and cultural,social programs"
156,in case you missed it california lawmakers nazarian and lee influenced by animal extremist groups california lawmakers introduce legislation against animal feeding operations and processing facilities on february 18 2022 california state assembly members nazarian and lee introduced ab 2764 if passed this bill will ban new animal feeding operations and processing in the state of california the legislation will also prohibit feeding operations and processing plants from expanding to meet demand for nutritious animal protein products if made into law this would add chapter 4 to part 1 of division 9 of the food and agricultural code relating to animals this bill was pushed by radical animal extremist groups direct action everywhere dxe and compassionate bay via their nomorefactoryfarms campaign dxe celebrates the radical animal extremist group dxe celebrated the introduction of ab 2764 with a social media post dxe is a group well known for its animal liberation ideology and agenda the group has factions across the country where they stage and perform protests thefts of animals and mob farm invasions recently the group s founder wayne hsuing was found guilty of trespass and theft adrin nazarian nazarian is a california state assembly member representing the 46th district this district covers the san fernando valley and includes hollywood hills lake balboa north hills north hollywood panorama city sherman oaks studio city toluca lake valley glen universal city van nuys and valley village his bio on his official website shows that he has a degree in economics therefore he clearly understands the impact this legislation will have on lawful businesses in the state that help to feed his own constituents based on numerous articles about nazarian and his activities is it clear is has aligned and created a strong partnership with radical animal extremist groups like dxe physicians committee for responsible medicine prcm animal hope in legislation animal legal defense fund friends of the earth social compassion in legislation and sierra club california he has also received endorsements from jerry brown and kamala harris who have also pushed legislation that is harmful to rural america rural property owners and animal agriculture his endorsements also include a long list of hollywood actors known for their affiliations with radical animal extremist groups vegan school lunches nazarian also authored ab 558 a bill that impacts school lunches which was pushed by the radical animal extremist group physicians committee for responsible medicine according to an article in businesswire the bill incentivizes k 12 public schools across the state to offer healthier climate friendly plant based meals and beverages ab 558 passed the california assembly courtroom advocates for animals furthermore nazarian introduced ab 2645 last year which may be heard in committee in march 2022 if passed ab 2645 would allow judges to appoint courtroom advocates to animals this is highly problematic as it provides an opening to providing personhood for animals the ramifications of this are multifold the american veterinary medical association has this bill on its watch list with the following statement the avma will keep a close eye on whether legislation allows for a court to appoint an advocate utilizing the legal standard of in the interests of the animal involved versus the standard of the interests of justice in the interest of the animal is a different legal standard than in the interest of justice and they have very different implications in the interest of justice includes notions of fairness societal interests for the humane treatment of animals and the interest of the owner while in the interest of the animal is an attempt to require courts to apply the same types of standards as they would for a child alex lee alex lee represents california s 25th assembly district his district covers both alameda and santa clara counties it includes the communities of fremont newark milpitas san jose and santa clara assembly member lee was elected in 2020 and has called the san francisco bay area home his entire life lee was also endorsed by the sierra club and his campaign website states he is fighting for enacting the green new deal and building sustainable communities his activities show partnership with extremist groups like peace 4 animals friends of the earth and social compassion in legislation for animals lee authored house resolution 61 which alarmingly refers to animal owners as guardians the american veterinary medical board addressed this very concern in 2005 this is a small portion of avma s stance some animal owners may like to refer to themselves as pet guardians however guardian is a legal term that has significant legal implications and repercussions its use to describe the relationship between animals and their owners is inappropriate under well developed principles of guardianship law guardianship is a fiduciary relationship the highest legal civil duty owed by one person to another the ward s interests are always to prevail over those of the guardian some conflicts that arise from application of human guardianship law to animals are described in the text that follows on the basis of these conflicts the american veterinary medical association avma recommends that guardian not be adopted even to semantically describe the relationship between humans and their animals the american kennel club expressed concerns about hr 61 and stated contact the author assembly member alex lee and respectfully express your concerns with hr 61 let him know that you agree that all animals should be treated in a humane and safe manner and explain how the broad definitions in hr 61 could encompass procedures that are important for your dogs breed why are two california assembly members who clearly have no background in agriculture and who represent urban and suburban communities writing legislation that will impact agriculture and rural communities summary of ab 2764 this bill would prohibit commercial animal feeding operations and slaughterhouses as defined from commencing or expanding operations except as specified the bill would make any person that violates this prohibition civilly liable for a penalty in an amount not to exceed a sum of 10 000 per violation per day but specify that a violation of this prohibition is not a crime language of ab 2764 the people of the state of california do enact as follows section 1 chapter 4 commencing with section 16600 is added to part 1 of division 9 of the food and agricultural code to read chapter 4 moratorium on commercial animal feeding operations and slaughterhouses 16600 for purpose of this chapter the following definitions apply a animal feeding operation means a lot or facility that meets both of the following requirements 1 for not less than a total of 45 days in any 12 month period animals including aquatic animals are stabled or confined and fed or maintained at the lot or facility 2 crops vegetation forage growth or postharvest residues are not sustained in the normal growing season over a portion of the lot or facility b commercial animal feeding operation means an animal feeding operation that sells for commercial gain an animal food product including meat dairy eggs organs or other byproducts that the animal feeding operation produces and that has annual revenues of one hundred thousand dollars 100 000 or more c slaughterhouse means a facility where the slaughtering of meat from animals including chickens turkeys pigs cattle ducks sheep and other livestock takes place and that has annual revenues of one hundred thousand dollars 100 000 or more 16601 a notwithstanding any other law and beginning january 1 2023 a commercial animal feeding operation or slaughterhouse shall not commence or expand operations b this section does not prohibit a person from completing construction including expansion of a commercial animal feeding operation or slaughterhouse if the person had begun the construction or expansion before january 1 2023 16602 a any person that violates this chapter is civilly liable for a penalty in an amount not to exceed a sum of ten thousand dollars 10 000 per violation per day b 1 if after examination of a complaint by the secretary or a member of the public and of the evidence the attorney general believes a violation of this chapter has occurred the attorney general shall bring an action for civil penalties or an injunction in the name of the people of this state in a court of competent jurisdiction against any person violating this chapter 2 if acting upon the attorney general s own initiative the attorney general believes a violation of this chapter has occurred the attorney general may bring an action for civil penalties or an injunction in the name of the people of this state in a court of competent jurisdiction against any person violating this chapter 3 an action for an injunction brought pursuant to this subdivision shall conform to the requirements of chapter 3 commencing with section 525 of title 7 of part 2 of the code of civil procedure except the secretary shall not be required to allege facts necessary to show or tending to show lack of adequate remedy at law or to show or tending to show irreparable damage or loss 16603 section 16421 does not apply to a violation of this chapter what you can do if you have concerns about this legislation we encourage you to speak up it is always helpful to contact your own representatives as well as the representatives who authored and sponsored concerning legislation they need to know how their ideals will impact your business and family nazarian contact information capitol office p o box 942849 sacramento ca 94249 0046 tel 916 319 2046 fax 916 319 2146 district office 6150 van nuys blvd suite 300 van nuys ca 91401 tel 818 376 4246 fax 818 376 4252 lee contact information capitol office state capitol room 2170 p o box 942849 sacramento ca 94249 0025 tel 916 319 2025 fax 916 319 2125 district office 1313 n milpitas blvd suite 255 milpitas ca 95035 tel 408 262 2501 fax 408 262 2512 for links to sources and more information visit this article on our website,Karen Elizabeth Glueck,facebook,"extremist,school,public schools,fed,climate,organs,physicians,medicine,law,invasions,green new deal,green new,new deal","economic,education,environment,foreign policy,governance,social and cultural,social programs"
157,here are some of the ways propane is a cleaner and greener alternative to electricity,,facebook,"alternative to electricity,greener",environment
158,in case you ve missed this the dangers of food elitism by jaclyn krymowski for protect the harvest access to adequate food is an extremely important topic all people deserve to have access to safe and nutritious foods in today s society there are numerous questions to ask about food food security and the recent focus on elite foods are various food focused social justice initiatives really pushing towards the goal of safe nutritious foods or are they working to redefine what safe and nutritious means do the groups who are trying to make safe and nutritious simultaneous with buzzwords like organic plant based and all natural know what impact their actions have on food equity food bullying is a reality and it starts with food marketers and their counterparts animal and environmental extremists in her book food bullying author michele payn points out that people may find themselves selecting certain food products or labels because of how it will make them feel increase their status or earn praise from peers the choices they make aren t necessarily derived from nutrition or safety but from an elitist mindset we support all forms of agriculture we do not support misinforming the public there is nothing wrong with providing high quality products to the elite buyer we support organic farming and conventional farming we also support different types of animal production systems what we do not support and believe is morally wrong is the practice of misinforming the public about our food system and the nutritional value of the foods they can afford to provide their families why are we making the statement that these groups are partners in crime many of these elite food marketing groups and companies tap into the false narrative established by animal and environmental extremist groups to push their own products elitist marketers and their counterparts animal and environmental extremist groups have purposely overlooked and ignored the reality that our modern food systems provide safe nutritious humane and most importantly affordable food through their marketing they repeat the negative disinformation about modern agriculture propagated by animal and environmental extremist groups keep in mind that animal extremists want to end all animal agriculture and view animal ownership as akin to slavery and abuse environmental extremist groups view humankind as a global parasite and they have been pushing this narrative for years this provides a convenient already established narrative that elite food companies and marketers tap into animal and environmental extremist groups are in a sense saving elite food marketers money since they have already worked to establish a false narrative in which they can use it as a platform to sell their food products they use the false narrative designed and marketed by extremist groups to enforce the false notion that vegan and other elite foods are the epitome of good health what is worse is that marketers for elite foods frown upon families who choose products they deem are over processed or unhealthy not only are these accusations unfounded but those same families simply don t have the money to spend on expensive alternatives without affordable animal protein products like eggs dairy beef pork and poultry they d have no other choice but to go hungry veganism is elitist and unhealthy one of the dangers of the vegan animal extremist ideology is their insistence that their proposed diet is suitable for everyone and entirely natural they ignore the facts and put the health of people at risk in favor of their radical ideology animal extremist groups also ignore the stark reality that the animal extremist vegan lifestyle requires some degree of supplementation to meet lacking nutrients found in abundance in animal products like b12 iron and vitamin d to name a few additionally vegan meat and dairy substitute products like fake bacon processed pea patties fake cheese and juices that are supposed to replace milk are significantly more expensive compared to wholesome real meat and dairy products if those manipulated into following the vegan ideology cannot afford those products they are then only able to afford produce and grain staples from a health perspective vegan diets are not recommended for everyone physicians from all over the world have warned against the dangers of vegan diets in children citing multiple instances of malnutrition and average delayed growth patterns in some countries forcing children to eat a vegan diet is considered child abuse and a crime food elitism is not family friendly unfortunately years of plentiful eating have blinded a lot of the elite to the fact that so many under privileged families rely on our affordable and sustainable food system the trend of companies serving the elite and wealthy have taken advantage of this ignorance in their marketing tactics most people cannot afford to shop at high end grocery stores like whole foods trader joe s and types of farmers markets on average their groceries are about 20 more expensive compared to traditional stores reflecting a privilege of the elite class examples of nefarious marketing tactics which mislead the public nefarious food product marketing tactics take many forms many marketing firms and elite food companies use scare tactics to sell their products using false or exaggerated disinformation their messaging heavily implies that other foods are nutritionally inferior and unsafe compared to certain products that are produced the right way of course the right way is their way their marketing messaging fully ignores the facts about food safety and the usda s role in ensuring the food items people purchase are safe to consume what these marketing tactics don t tell people is that conventionally raised meat eggs and dairy fall under the safest food inspections and regulations in the world likewise they have a very similar nutritional profile to food items which are marketed as pastured raised or organic these scare tactics can be especially harmful to low income and underprivileged families who are led to believe that they are not and cannot feed their families properly cooks venture is an example of elitist marketing and pricing they are a food delivery service focused on pasture raised beef and chicken they have plans to expand their lineup soon a 9 to 10 pound box of their assorted beef and chicken cuts goes for 149 99 by comparison the average cost per pound of a conventional whole chicken is just 1 70 and beef 4 73 good food is vital for health and happiness says their website heavily implying that their meats are good compared to other conventionally raised products the site continues despite the pastoral images and marketing claims almost all meat today comes from mainstream operations that are labeled with greenwashed buzzwords finding food that is good for both us and the planet doesn t have to be this hard while marketing language this tone is harmful as it reinforces a misconception that is already so rampant among consumers that products derived from conventional animal agriculture are inferior to niche products sporting labels like grass fed pasture raised organic or all natural keep in mind that the definitions for some of these are not even officially defined a company with a similar marketing approach is butcherbox which says it was started with the idea that everyone should have access to high quality humanely raised meat but is their 149 month delivered box if 9 to 14 pounds of meat really accessible to everyone we only work with companies and farmers that are dedicated to doing the right thing continues the website never cutting corners this is yet another example of a company which is painting conventional modern animal agriculture as the enemy the goal is to shame the elite into purchasing their products and it fully ignores those who cannot afford the high end products they are pushing food insecurity is the real issue despite being one of the wealthiest nations in the world americans still fall into the food insecure category making up about 10 5 of households in 2019 according to data from the department of agriculture in poorer countries that number is much higher with some having notable portions of their populations being chronically malnourished a pivotal solution to all of this starts of course at the farm level however the disconnect between large farms modernization and food equity is unfortunately ongoing a global washington article cites increasing farm efficiency productivity as being necessary to help alleviate the rising cost of food products this includes a comprehensive approach that includes access to heartier seeds more effective tools improved farm management practices locally relevant knowledge and reliable markets university researchers and livestock veterinarians have dedicated decades to refining modern farming practices to provide humane sustainable wholesome and affordable foods large farms especially those in first world countries have embraced the research available to them and implemented modern practices unfortunately the global washington article leaves out the vital role of research and modern farming practices instead it cites small farms without defining what that term means as being part of the solution diane sullivan fights for food security in her testimony before the u s house subcommittee on economic and consumer policy on february 6 2020 food security activist diane sullivan shared her insight into the real world implications of food elitism as a mother who has experienced hunger and homelessness too often food policy debate in this country exclusively takes place among those in power elected officials scholars researchers both for profit and non profit special interest groups and more she shared rarely are those of us with lived experience in hunger invited to the table when the policies that directly impact our lives are discussed designed and implemented this is increasingly the case as retailers policymakers state ballot initiatives and more press to regulate farmers in such a way that eliminates affordable safe and nutritious food choices and drives up the cost of our food sullivan also commented on the significant role that hardworking farmers and ranchers play in the conventional food system to make food equitable to struggling households my experience has taught me that productive farmers and ranchers in this country are perhaps among the best friends low income people could have she stated they provide us the broadest choices of safe and affordable food options in the world so long as they are permitted to do so as low income consumers we remain stuck in the middle of policies that increase the cost of our food in 2016 sullivan was the campaign manager for a ballot committee that opposed a ban on sales of meat and eggs from animals raised in large modern farms mass question 3 which is the vast majority of affordable and conventionally raised animal products on so many occasions i ve been in a position where i haven t been able to feed my children an appropriate meal sullivan shared in an interview for a local publication when my snap benefits have run out my paycheck is still a couple of days away i ve been able to go to the grocery store gather up a dollar in change purchase a dozen eggs and feed my children at least a source of protein she added my passion is driving me i know what hunger looks and feels like who s going to take on an organization like the humane society of the united states to defend poor people poor people are too often voiceless the farm systems reform act will drive up the price of affordable food in addition to recent attacks on affordable food and modern agriculture like mass question 3 and california s prop 2 and prop 12 there are animal extremist influenced politicians continuing to push their ideology while ignoring the impact on american families considering the average spending of an american family on their monthly grocery bill and that many are still going hungry the disruption of the conventional food system particularly animal derived proteins would be catastrophic the farm systems reform act is one of the latest legislative efforts being pushed by vegan extremist senator cory booker this piece of legislation will harm families in the name of food elitism and vegan ideology and it is being done on the national level animal extremist driven state ballot initiatives will drive up the price of affordable food in addition to federal legislation the animal extremist driven state ballot initiatives in colorado and oregon are other new targeted attacks on animal agriculture by animal rights vegan extremists they are pushing to eliminate animal protein products from the diets of citizens in those states under a false animal welfare pretense these initiatives would cripple the states animal industries and force an unhealthy diet on growing families by making affordable and nutritious animal protein products prohibitively expensive a balanced food system each year hundreds of millions of people go hungry around the globe and even for those with access to food many are still deficient in essential vitamins and nutrients in the u s alone it is estimated over 92 of the population suffers from at least one vitamin or mineral deficiency at least 10 have a broader type of nutritional deficiency many of the most common deficiencies found throughout the world can be easily addressed by consuming animal protein products iron deficiency for example affects over 25 of the world a single three ounce serving of ground beef one of the most affordable beef products covers almost 30 of the recommended daily value for iron because vitamin b12 absorption decreases with age many older adults an estimated 20 of them are deficient in this vitamin meat milk and eggs are all abundant accessible sources these are just a few brief examples of vitamins that are essential and found easily in animal products modern agriculture provides affordable nutritious and sustainable food modern agriculture including livestock production makes food affordable is more sustainable helps to control food byproduct waste and decreases food disparity among households americans today only spend less than 10 of their income on food for poorer nations and low income american households that percentage is easily 40 in some cases much more than that modern state of the art practices in american agriculture have been developed to feed citizens efficiently and affordably everything in our food system from research to farming practices to subsidies all reflect this mindset not only are nutritious foods plentiful and accessible but they also empower consumers with freedom of choice the pursuit of an equitable food system should be about offering more not less choices to consumers to meet their dietary needs restricting them with only expensive alternatives is food elitism that leaves so many vulnerable families to struggle with life s most basic necessities for links to sources and more information visit this article on our website,Karen Elizabeth Glueck,facebook,"extremist,extremists,productivity,fed,subsidies,poorer,equitable,economic,health,homelessness,consumers,physicians,privileged","economic,environment,health,safety,social and cultural,social programs"
159,our 2022 race could be katie s most competitive yet we look to past elections to determine how competitive future ones will be and here in california s 47th the most recent election was the september recall of democratic governor gavin newsom while newsom won with a strong majority of the vote in california as a whole he won by a much smaller margin here in orange county 𝑰𝒏 𝒐𝒖𝒓 𝒅𝒊𝒔𝒕𝒓𝒊𝒄𝒕 𝒉𝒆 𝒘𝒐𝒏 𝒃𝒚 𝒋𝒖𝒔𝒕 𝒂 𝒔𝒊𝒏𝒈𝒍𝒆 𝒑𝒐𝒊𝒏𝒕 that tells us that this race is a real toss up while california as a state may be blue our district includes deep red strongholds and because of redistricting nearly 70 of the voters here are brand new to katie we ll have to put serious resources into introducing these voters to katie and telling them what she s fighting for if you can consider making a contribution to our campaign we re gearing up for a tough race and money given now will help us reach voters early on,Katie Porter For Congress ,facebook,"strongholds,contribution","donation,foreign policy"
160,investinourplanet and take meaningful action against climate change on this earthday according to our second annual nextgen climate survey climate change is taking a toll on youth mental health and taking action can help minimize stress making lifestyle changes lobbying for more sustainable practices and petitioning public representatives to pass climate policy are some of the most powerful actions that we can take get more tips at weneverstop climatechange earthday2022 earthdayeveryday,BLUE SHIELD OF CALIFORNIA LIFE & HEALTH INSURANCE CO.,facebook,"climate change,climate,earthday,health,climatechange","environment,health"
161,for earthday hellscape no 17 by artist petra_cortright has been installed at the cantor arts center cantorarts and the hammer_museum as part of acoolmillioncampaign a public arts initiative for climate awareness led by artists and institutions to expand environmental justice programming and support the conservation of one million acres of land i would like to thank a cool million for the opportunity to help protect the beauty which is california my place of birth says cortright where the landscape means everything to me i hope the piece can provide a sense of urgency as well as a sense of hope curated by mickimeng and haleymellin a cool million is a partnership between forfreedoms artandclimateaction artintoacres and 14 arts institutions across california to install climate related artworks on billboards museum facades and public spaces learn more at acoolmillion org photos by kurt hickman forfreedoms artandclimateaction hammer_museum petra_cortright mickimeng haleymellin acoolmillioncampaign earthday participating institutions thebroadmuseum bampfa cantorarts deyoungmuseum gettymuseum hammer_museum icasanfrancisco lacma moadsf moca calartsredcat sanjosemuseumofart sfmoma wattisarts,,facebook,"climate,conservation,earthday",environment
162,time for change at hcisd after years of heavy taxation for pet projects and taking thousands in campaign donations from linebarger the board renews the district delinquent tax collection contract at the highest collection rate allowed by state law,Robert Allen Leftwich,facebook,"tax,taxation,law","economic,governance"
163,we are excited to share photos of our recent convention let s start with congratulating william bill j dobert for being recognized by assemblymember cecilia aguiar curry for his over 25 years of distinguished service thank you for your leadership,Resource Recovery Coalition of California,facebook,no words,no topic
164,𝐖𝐄 𝐂𝐀𝐍 𝐓 𝐀𝐋𝐋𝐎𝐖 𝐓𝐇𝐄 𝐒𝐄𝐂𝐎𝐍𝐃 𝐋𝐀𝐑𝐆𝐄𝐒𝐓 𝐂𝐈𝐓𝐘 𝐈𝐍 𝐓𝐇𝐄 𝐔 𝐒 𝐒𝐄𝐓 𝐀 𝐏𝐑𝐄𝐂𝐄𝐃𝐄𝐍𝐓 𝐅𝐎𝐑 𝐎𝐓𝐇𝐄𝐑 𝐂𝐈𝐓𝐈𝐄𝐒 𝐓𝐎 𝐅𝐎𝐋𝐋𝐎𝐖 𝐏𝐥𝐞𝐚𝐬𝐞 𝐡𝐞𝐥𝐩 𝐭𝐡𝐞 𝐖𝐞𝐬𝐭𝐞𝐫𝐧 𝐒𝐩𝐨𝐫𝐭𝐬 𝐈𝐧𝐝𝐮𝐬𝐭𝐫𝐲 𝐂𝐨𝐚𝐥𝐢𝐭𝐢𝐨𝐧 𝐬𝐚𝐯𝐞 𝐑𝐨𝐝𝐞𝐨 𝐁𝐮𝐥𝐥 𝐑𝐢𝐝𝐢𝐧𝐠 𝐚𝐧𝐝 𝐬𝐢𝐦𝐢𝐥𝐚𝐫 𝐞𝐯𝐞𝐧𝐭𝐬 𝐢𝐧 𝐭𝐡𝐞 𝐜𝐢𝐭𝐲 𝐨𝐟 𝐋𝐨𝐬 𝐀𝐧𝐠𝐞𝐥𝐞𝐬 𝐂𝐨𝐦𝐦𝐞𝐧𝐭 𝐨𝐧 𝐭𝐡𝐞 𝐨𝐧 𝐭𝐡𝐞 𝐋 𝐀 𝐂𝐢𝐭𝐲 𝐂𝐨𝐮𝐧𝐜𝐢𝐥 𝐏𝐚𝐠𝐞 𝐒𝐢𝐠𝐧 𝐓𝐡𝐞 𝐏𝐞𝐭𝐢𝐭𝐢𝐨𝐧,Western Justice Legislative Fund,facebook,no words,no topic
165,dave jones has written landmark laws to build affordable housing combat climate change and expand preschool for working families,Dave Jones for State Senate 2022,facebook,"climate change,climate,laws,affordable housing","environment,governance,social programs"
166,dave jones is the only candidate endorsed by the democratic party because he is a true champion for people who need a voice and a fighter for californians who need his help california democratic party chair rusty hicks,Dave Jones for State Senate 2022,facebook,no words,no topic
167,in the state senate dave will fight to build affordable housing reduce homelessness and deliver results for working families,Dave Jones for State Senate 2022,facebook,"affordable housing,homelessness","economic,safety,social programs"
168,dave jones has a 20 year record of fighting for californians standing up to powerful special interests and delivering results,Dave Jones for State Senate 2022,facebook,no words,no topic
169,dave jones is supported by the sierra club and democratic party big oil is spending big to attack dave stand up fight back vote,Dave Jones for State Senate 2022,facebook,big oil,environment
170,big oil companies are spending hundreds of thousands on attack ads because dave jones fights for people not corporations,Dave Jones for State Senate 2022,facebook,"oil companies,big oil",environment
171,we ask everyone who cares to join the help of volunteers and residents of ukraine thanks to you here in ukraine we will be able to provide everything necessary for those who need help from young children and migrants to the territorial defense of cities thanks to everyone who responds usa charity helpukraine usa charityevent help newyork hollywood losangeles california washington donate chicago saveukraine america saveukraine american humanity hollywoodstudios vip celebrity celebrities stopwar stopwarinukraine stoprussia stoprussianaggression stopputin,,facebook,"ukraine,donate","donation,foreign policy"
172,thank you so much for holding a fundraiser for us folsom area democratic club i appreciate your support of our grassroots campaign from the beginning we can win this race,Braden Murphy for State Board of Equalization 2022  ,facebook,no words,no topic
173,executive order signed millions of california residents now qualify for free health plans click learn more to qualify now health insurance dental vision hearing,Patriot United Front LLC,facebook,"health,health insurance","health,social programs"
174,director rizvi has received an outpouring of support with over fifty key endorsements from notable federal state and local elected officials throughout california corona ca western municipal water district division 5 representative small business owner nonprofit leader and longtime community leader fauzia rizvi has announced her campaign to run for the newly drawn assembly district 63 this district includes the communities of lake elsinore menifee norco canyon lake and parts of eastvale riverside perris and corona at the beginning of the pandemic i was inspired to step up to coordinate and lead over 100 food drives as well as mask distributions to senior veterans and families in need throughout the inland empire stated rizvi this inspired me to run for my local water board to serve families like mine which i have successfully done since the community elected me i look forward to bringing more resources to our region such as investing in our local infrastructure rebuilding our local economy through workforce development enhancing veterans services and addressing the housing crisis to read full press release visit www fauziarizviforassembly com,Fauzia Rizvi for Assembly 2022,facebook,"business owner,economy,small business,pandemic,corona","covid,economic"
